Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM
Accelerating,42,21,22.5984,1.06898,115.881,6.01442,109.867,4.82839,1.0024,727.426,742.272,834.013,868.764,834.013
Accelerating,43,21.5,23.1326,1.06844,115.881,6.06934,109.812,4.82839,1.01156,744.623,759.819,853.729,889.301,853.729
Accelerating,44,22,23.6666,1.0679,115.881,6.12488,109.757,4.82839,1.02081,761.81,777.357,873.435,909.828,873.435
Accelerating,45,22.5,24.2002,1.06736,115.881,6.18102,109.7,4.82839,1.03017,778.989,794.887,893.131,930.345,893.131
Accelerating,46,23,24.7336,1.0668,115.881,6.23776,109.644,4.82839,1.03963,796.159,812.407,912.817,950.851,912.817
Accelerating,47,23.5,25.2668,1.06625,115.881,6.29511,109.586,4.82839,1.04919,813.32,829.918,932.492,971.346,932.492
Accelerating,48,24,25.7996,1.06568,115.881,6.35307,109.528,4.82839,1.05884,830.471,847.42,952.157,991.83,952.157
Accelerating,49,24.5,26.3322,1.06511,115.881,6.41163,109.47,4.82839,1.0686,847.614,864.912,971.811,1012.3,971.811
Accelerating,50,25,26.8644,1.06454,115.881,6.47079,109.411,4.82839,1.07846,864.747,882.395,991.455,1032.77,991.455
Accelerating,51,25.5,27.3964,1.06395,115.881,6.53055,109.351,4.82839,1.08842,881.871,899.869,1011.09,1053.22,1011.09
Accelerating,52,26,27.9281,1.06337,115.881,6.59091,109.291,4.82839,1.09848,898.986,917.332,1030.71,1073.66,1030.71
Accelerating,53,26.5,28.4595,1.06277,115.881,6.65186,109.23,4.82839,1.10864,916.091,934.786,1050.32,1094.09,1050.32
Accelerating,54,27,28.9906,1.06218,115.881,6.71341,109.168,4.82839,1.1189,933.186,952.231,1069.92,1114.5,1069.92
Accelerating,55,27.5,29.5214,1.06157,115.881,6.77556,109.106,4.82839,1.12926,950.272,969.665,1089.51,1134.91,1089.51
Accelerating,56,28,30.0518,1.06096,115.881,6.8383,109.043,4.82839,1.13972,967.347,987.089,1109.09,1155.3,1109.09
Accelerating,57,28.5,30.582,1.06034,115.881,6.90163,108.98,4.82839,1.15027,984.413,1004.5,1128.66,1175.68,1128.66
Accelerating,58,29,31.1119,1.05972,115.881,6.96556,108.916,4.82839,1.16093,1001.47,1021.91,1148.21,1196.05,1148.21
Accelerating,59,29.5,31.6414,1.05909,115.881,7.03007,108.851,4.82839,1.17168,1018.51,1039.3,1167.75,1216.41,1167.75
Accelerating,60,30,32.1706,1.05846,115.881,7.09517,108.786,4.82839,1.18253,1035.55,1056.68,1187.29,1236.76,1187.29
