Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,92,46,47.2661,0.762055,87.5596,9.23726,78.3224
Accelerating,93,46.5,47.6434,0.754602,86.8538,9.29744,77.5563
Accelerating,94,47,48.0171,0.747327,86.166,9.35736,76.8086
Accelerating,95,47.5,48.3872,0.740222,85.4954,9.41701,76.0784
Accelerating,96,48,48.7539,0.733282,84.8415,9.4764,75.3651
Accelerating,97,48.5,49.1171,0.726499,84.2034,9.53553,74.6679
Accelerating,98,49,49.477,0.719867,83.5807,9.59441,73.9863
Accelerating,99,49.5,49.8337,0.71338,82.9727,9.65304,73.3196
Accelerating,100,50,50.1873,0.707034,82.3788,9.71144,72.6674
Accelerating,101,50.5,50.5377,0.700822,81.7985,9.76959,72.0289
Accelerating,102,51,50.885,0.69474,81.2314,9.8275,71.4039
Accelerating,103,51.5,51.2294,0.688783,80.6768,9.88519,70.7916
Accelerating,104,52,51.5709,0.682948,80.1345,9.94264,70.1918
Accelerating,105,52.5,51.9095,0.677228,79.6039,9.99987,69.604
Accelerating,106,53,52.2453,0.671621,79.0846,10.0569,69.0277
Accelerating,107,53.5,52.5784,0.666123,78.5763,10.1137,68.4626
Accelerating,108,54,52.9088,0.660729,78.0785,10.1702,67.9083
Accelerating,109,54.5,53.2365,0.655437,77.591,10.2266,67.3644
Accelerating,110,55,53.5616,0.650244,77.1134,10.2827,66.8306
Accelerating,111,55.5,53.8842,0.645145,76.6453,10.3387,66.3066
Accelerating,112,56,54.2042,0.640139,76.1864,10.3944,65.792
Accelerating,113,56.5,54.5218,0.635221,75.7366,10.4499,65.2866
Accelerating,114,57,54.837,0.63039,75.2954,10.5053,64.7901
Accelerating,115,57.5,55.1499,0.625643,74.8626,10.5604,64.3022
Accelerating,116,58,55.4604,0.620977,74.438,10.6153,63.8226
Accelerating,117,58.5,55.7685,0.61639,74.0212,10.6701,63.3512
Accelerating,118,59,56.0745,0.611879,73.6122,10.7246,62.8875
Accelerating,119,59.5,56.3782,0.607442,73.2105,10.779,62.4316
Accelerating,120,60,56.6797,0.603078,72.8161,10.8332,61.983
Accelerating,121,60.5,56.9791,0.598783,72.4288,10.8871,61.5416
Accelerating,122,61,57.2764,0.594557,72.0482,10.9409,61.1072
Accelerating,123,61.5,57.5716,0.590397,71.6742,10.9946,60.6797
Accelerating,124,62,57.8648,0.586301,71.3067,11.048,60.2587
Accelerating,125,62.5,58.1559,0.582268,70.9455,11.1013,59.8442
Accelerating,126,63,58.445,0.578296,70.5903,11.1543,59.436
Accelerating,127,63.5,58.7322,0.574383,70.2411,11.2073,59.0338
Accelerating,128,64,59.0175,0.570528,69.8976,11.26,58.6376
Accelerating,129,64.5,59.3009,0.566729,69.5598,11.3126,58.2472
Accelerating,130,65,59.5824,0.562986,69.2274,11.365,57.8624
Accelerating,131,65.5,59.862,0.559295,68.9003,11.4172,57.4831
Accelerating,132,66,60.1398,0.555657,68.5784,11.4692,57.1092
Accelerating,133,66.5,60.4159,0.55207,68.2616,11.5211,56.7405
Accelerating,134,67,60.6901,0.548532,67.9497,11.5729,56.3769
Accelerating,135,67.5,60.9627,0.545042,67.6427,11.6244,56.0183
Accelerating,136,68,61.2335,0.5416,67.3403,11.6758,55.6645
Accelerating,137,68.5,61.5026,0.538204,67.0425,11.7271,55.3154
Accelerating,138,69,61.77,0.534853,66.7491,11.7781,54.971
Accelerating,139,69.5,62.0358,0.531546,66.4602,11.8291,54.6311
Accelerating,140,70,62.2999,0.528281,66.1754,11.8798,54.2956
Accelerating,141,70.5,62.5624,0.525059,65.8949,11.9305,53.9644
Accelerating,142,71,62.8234,0.521878,65.6183,11.9809,53.6374
Accelerating,143,71.5,63.0827,0.518736,65.3458,12.0312,53.3146
Accelerating,144,72,63.3406,0.515634,65.0771,12.0814,52.9958
Accelerating,145,72.5,63.5968,0.512571,64.8122,12.1314,52.6809
