Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,99,49.5,99,0.0705129,27.4501,20.2029,7.24716
Accelerating,100,50,100,0.0624918,26.8983,20.4755,6.42277
Accelerating,101,50.5,101,0.0546092,26.363,20.7504,5.61261
Accelerating,102,51,102,0.0468588,25.8436,21.0275,4.81604
Accelerating,103,51.5,103,0.0392346,25.3393,21.3069,4.03245
Accelerating,104,52,104,0.031731,24.8497,21.5884,3.26124
Accelerating,105,52.5,105,0.0243424,24.3741,21.8722,2.50186
Accelerating,106,53,106,0.0170637,23.912,22.1583,1.75377
Accelerating,107,53.5,107,0.00988989,23.463,22.4465,1.01646
Accelerating,108,54,108,0.00281633,23.0265,22.737,0.289456
Accelerating,109,54.5,109,-0.00416151,22.6021,23.0298,-0.42771
Accelerating,110,55,110,-0.0110479,22.1892,23.3247,-1.13548
Accelerating,111,55.5,111,-0.017847,21.7876,23.6219,-1.83427
Accelerating,112,56,112,-0.0245626,21.3968,23.9213,-2.52449
Accelerating,113,56.5,113,-0.0311985,21.0164,24.223,-3.20651
Accelerating,114,57,114,-0.0377583,20.6461,24.5268,-3.88072
Accelerating,115,57.5,115,-0.0442454,20.2855,24.8329,-4.54745
Accelerating,116,58,116,-0.0506631,19.9342,25.1413,-5.20704
Accelerating,117,58.5,117,-0.0570145,19.592,25.4519,-5.85982
Accelerating,118,59,118,-0.0633026,19.2586,25.7646,-6.5061
Accelerating,119,59.5,119,-0.0695302,18.9335,26.0797,-7.14616
Accelerating,120,60,120,-0.0757001,18.6166,26.3969,-7.78029
Accelerating,121,60.5,121,-0.081815,18.3077,26.7164,-8.40877
Accelerating,122,61,122,-0.0878774,18.0063,27.0381,-9.03184
Accelerating,123,61.5,123,-0.0938896,17.7123,27.3621,-9.64977
Accelerating,124,62,124,-0.0998541,17.4255,27.6883,-10.2628
Accelerating,125,62.5,125,-0.105773,17.1456,28.0167,-10.8711
Accelerating,126,63,126,-0.111649,16.8723,28.3473,-11.475
Accelerating,127,63.5,127,-0.117483,16.6056,28.6802,-12.0746
Accelerating,128,64,128,-0.123278,16.3451,29.0153,-12.6702
Accelerating,129,64.5,129,-0.129035,16.0907,29.3526,-13.2619
Accelerating,130,65,130,-0.134757,15.8422,29.6922,-13.85
Coasting,131,65.5,131,-0.292223,0,30.034,-30.034
Stopped,132,1,0,0,0,30.034,-30.034
