Phase,Iteration,Time,Speed,Acceleration,F motor,F res,F total,F motor/TM,F res/TM,P Wheel,P Motor out, P Motor In, P VVVF in, P Catenary,E motor,E pow,E regen,E APS
Coasting,411,205.5,68.2122,-0.127626,0,13.1171,-13.1171,0,2.18619,0,0,0,0,30,2325.99,2722.37,0,175.958
Coasting,412,206,68.1484,-0.127499,0,13.104,-13.104,0,2.18401,0,0,0,0,30,2325.99,2722.37,0,176.817
Coasting,413,206.5,68.0848,-0.127372,0,13.091,-13.091,0,2.18183,0,0,0,0,30,2325.99,2722.37,0,177.675
Coasting,414,207,68.0211,-0.127245,0,13.0779,-13.0779,0,2.17965,0,0,0,0,30,2325.99,2722.37,0,178.537
Coasting,415,207.5,67.9576,-0.127118,0,13.0649,-13.0649,0,2.17748,0,0,0,0,30,2325.99,2722.37,0,179.4
Coasting,416,208,67.8941,-0.126991,0,13.0519,-13.0519,0,2.17532,0,0,0,0,30,2325.99,2722.37,0,180.267
Coasting,417,208.5,67.8306,-0.126865,0,13.0389,-13.0389,0,2.17315,0,0,0,0,30,2325.99,2722.37,0,181.133
Coasting,418,209,67.7673,-0.126739,0,13.026,-13.026,0,2.17099,0,0,0,0,30,2325.99,2722.37,0,182.004
Coasting,419,209.5,67.704,-0.126613,0,13.013,-13.013,0,2.16884,0,0,0,0,30,2325.99,2722.37,0,182.875
Coasting,420,210,67.6407,-0.126487,0,13.0001,-13.0001,0,2.16668,0,0,0,0,30,2325.99,2722.37,0,183.75
Coasting,421,210.5,67.5775,-0.126362,0,12.9872,-12.9872,0,2.16453,0,0,0,0,30,2325.99,2722.37,0,184.625
Coasting,422,211,67.5144,-0.126237,0,12.9743,-12.9743,0,2.16239,0,0,0,0,30,2325.99,2722.37,0,185.504
Coasting,423,211.5,67.4514,-0.126112,0,12.9615,-12.9615,0,2.16025,0,0,0,0,30,2325.99,2722.37,0,186.383
Coasting,424,212,67.3884,-0.125987,0,12.9486,-12.9486,0,2.15811,0,0,0,0,30,2325.99,2722.37,0,187.267
Coasting,425,212.5,67.3254,-0.125862,0,12.9358,-12.9358,0,2.15597,0,0,0,0,30,2325.99,2722.37,0,188.15
Coasting,426,213,67.2626,-0.125738,0,12.9231,-12.9231,0,2.15384,0,0,0,0,30,2325.99,2722.37,0,189.037
Coasting,427,213.5,67.1998,-0.125614,0,12.9103,-12.9103,0,2.15172,0,0,0,0,30,2325.99,2722.37,0,189.925
Coasting,428,214,67.137,-0.12549,0,12.8975,-12.8975,0,2.14959,0,0,0,0,30,2325.99,2722.37,0,190.817
Coasting,429,214.5,67.0743,-0.125366,0,12.8848,-12.8848,0,2.14747,0,0,0,0,30,2325.99,2722.37,0,191.708
Coasting,430,215,67.0117,-0.125242,0,12.8721,-12.8721,0,2.14535,0,0,0,0,30,2325.99,2722.37,0,192.604
Coasting,431,215.5,66.9492,-0.125119,0,12.8594,-12.8594,0,2.14324,0,0,0,0,30,2325.99,2722.37,0,193.5
Coasting,432,216,66.8867,-0.124996,0,12.8468,-12.8468,0,2.14113,0,0,0,0,30,2325.99,2722.37,0,194.4
Coasting,433,216.5,66.8242,-0.124873,0,12.8341,-12.8341,0,2.13902,0,0,0,0,30,2325.99,2722.37,0,195.3
Coasting,434,217,66.7619,-0.12475,0,12.8215,-12.8215,0,2.13692,0,0,0,0,30,2325.99,2722.37,0,196.204
Coasting,435,217.5,66.6995,-0.124627,0,12.8089,-12.8089,0,2.13482,0,0,0,0,30,2325.99,2722.37,0,197.108
Coasting,436,218,66.6373,-0.124505,0,12.7964,-12.7964,0,2.13273,0,0,0,0,30,2325.99,2722.37,0,198.017
Coasting,437,218.5,66.5751,-0.124383,0,12.7838,-12.7838,0,2.13063,0,0,0,0,30,2325.99,2722.37,0,198.925
Coasting,438,219,66.513,-0.124261,0,12.7713,-12.7713,0,2.12855,0,0,0,0,30,2325.99,2722.37,0,199.837
Coasting,439,219.5,66.4509,-0.124139,0,12.7588,-12.7588,0,2.12646,0,0,0,0,30,2325.99,2722.37,0,200.75
Coasting,440,220,66.3889,-0.124018,0,12.7463,-12.7463,0,2.12438,0,0,0,0,30,2325.99,2722.37,0,201.667
Coasting,441,220.5,66.3269,-0.123896,0,12.7338,-12.7338,0,2.1223,0,0,0,0,30,2325.99,2722.37,0,202.583
Coasting,442,221,66.2651,-0.123775,0,12.7214,-12.7214,0,2.12023,0,0,0,0,30,2325.99,2722.37,0,203.504
Coasting,443,221.5,66.2032,-0.123654,0,12.7089,-12.7089,0,2.11815,0,0,0,0,30,2325.99,2722.37,0,204.425
Coasting,444,222,66.1415,-0.123534,0,12.6965,-12.6965,0,2.11609,0,0,0,0,30,2325.99,2722.37,0,205.35
Coasting,445,222.5,66.0797,-0.123413,0,12.6841,-12.6841,0,2.11402,0,0,0,0,30,2325.99,2722.37,0,206.275
Coasting,446,223,66.0181,-0.123293,0,12.6718,-12.6718,0,2.11196,0,0,0,0,30,2325.99,2722.37,0,207.204
Coasting,447,223.5,65.9565,-0.123173,0,12.6594,-12.6594,0,2.1099,0,0,0,0,30,2325.99,2722.37,0,208.133
Coasting,448,224,65.895,-0.123053,0,12.6471,-12.6471,0,2.10785,0,0,0,0,30,2325.99,2722.37,0,209.067
Coasting,449,224.5,65.8335,-0.122933,0,12.6348,-12.6348,0,2.1058,0,0,0,0,30,2325.99,2722.37,0,210
Coasting,450,225,65.7721,-0.122814,0,12.6225,-12.6225,0,2.10375,0,0,0,0,30,2325.99,2722.37,0,210.937
Coasting,451,225.5,65.7108,-0.122694,0,12.6102,-12.6102,0,2.10171,0,0,0,0,30,2325.99,2722.37,0,211.875
Coasting,452,226,65.6495,-0.122575,0,12.598,-12.598,0,2.09967,0,0,0,0,30,2325.99,2722.37,0,212.817
Coasting,453,226.5,65.5883,-0.122456,0,12.5858,-12.5858,0,2.09763,0,0,0,0,30,2325.99,2722.37,0,213.758
Coasting,454,227,65.5271,-0.122337,0,12.5736,-12.5736,0,2.09559,0,0,0,0,30,2325.99,2722.37,0,214.704
Coasting,455,227.5,65.466,-0.122219,0,12.5614,-12.5614,0,2.09356,0,0,0,0,30,2325.99,2722.37,0,215.65
Coasting,456,228,65.4049,-0.122101,0,12.5492,-12.5492,0,2.09154,0,0,0,0,30,2325.99,2722.37,0,216.6
Coasting,457,228.5,65.3439,-0.121982,0,12.5371,-12.5371,0,2.08951,0,0,0,0,30,2325.99,2722.37,0,217.55
Coasting,458,229,65.283,-0.121864,0,12.525,-12.525,0,2.08749,0,0,0,0,30,2325.99,2722.37,0,218.504
Coasting,459,229.5,65.2221,-0.121747,0,12.5129,-12.5129,0,2.08548,0,0,0,0,30,2325.99,2722.37,0,219.458
Coasting,460,230,65.1613,-0.121629,0,12.5008,-12.5008,0,2.08346,0,0,0,0,30,2325.99,2722.37,0,220.417
Coasting,461,230.5,65.1006,-0.121512,0,12.4887,-12.4887,0,2.08145,0,0,0,0,30,2325.99,2722.37,0,221.375
Coasting,462,231,65.0399,-0.121395,0,12.4767,-12.4767,0,2.07944,0,0,0,0,30,2325.99,2722.37,0,222.337
Coasting,463,231.5,64.9792,-0.121278,0,12.4646,-12.4646,0,2.07744,0,0,0,0,30,2325.99,2722.37,0,223.3
Braking,464,232,64.556,-0.846424,-86.9936,12.4526,-86.9936,-3.62473,2.07544,1559.99,1591.83,1788.57,1863.09,1893.09,2325.99,2722.37,0,224.267
Braking,465,232.5,64.13,-0.851973,-87.5639,12.3691,-87.5639,-3.6485,2.06152,1559.85,1591.69,1788.41,1862.93,1892.93,2325.99,2722.37,60.033,225.233
Braking,466,233,63.7012,-0.857633,-88.1456,12.2854,-88.1456,-3.67273,2.04757,1559.72,1591.55,1788.26,1862.77,1892.77,2325.99,2722.37,120.319,226.204
Braking,467,233.5,63.2695,-0.863406,-88.7389,12.2016,-88.7389,-3.69746,2.03359,1559.57,1591.4,1788.09,1862.6,1892.6,2325.99,2722.37,180.601,227.175
Braking,468,234,62.8349,-0.869297,-89.3444,12.1176,-89.3444,-3.72268,2.0196,1559.43,1591.25,1787.93,1862.42,1892.42,2325.99,2722.37,241.135,228.15
Braking,469,234.5,62.3972,-0.87531,-89.9625,12.0334,-89.9625,-3.74844,2.00557,1559.28,1591.1,1787.75,1862.24,1892.24,2325.99,2722.37,301.664,229.125
Braking,470,235,61.9565,-0.88145,-90.5935,11.9491,-90.5935,-3.77473,1.99152,1559.13,1590.94,1787.58,1862.06,1892.06,2325.99,2722.37,362.445,230.104
Braking,471,235.5,61.5126,-0.88772,-91.2379,11.8647,-91.2379,-3.80158,1.97745,1558.97,1590.78,1787.4,1861.87,1891.87,2325.99,2722.37,423.221,231.083
Braking,472,236,61.0656,-0.894126,-91.8962,11.7801,-91.8962,-3.82901,1.96334,1558.8,1590.62,1787.21,1861.68,1891.68,2325.99,2722.37,484.249,232.067
Braking,473,236.5,60.6152,-0.900671,-92.569,11.6953,-92.569,-3.85704,1.94921,1558.64,1590.45,1787.02,1861.48,1891.48,2325.99,2722.37,545.271,233.05
Braking,474,237,60.1615,-0.907363,-93.2567,11.6103,-93.2567,-3.8857,1.93505,1558.46,1590.27,1786.82,1861.27,1891.27,2325.99,2722.37,606.544,234.037
Braking,475,237.5,59.7044,-0.914205,-93.96,11.5252,-93.96,-3.915,1.92086,1558.29,1590.09,1786.62,1861.06,1891.06,2325.99,2722.37,667.811,235.025
Braking,476,238,59.2438,-0.921205,-94.6794,11.4399,-94.6794,-3.94497,1.90665,1558.1,1589.9,1786.4,1860.84,1890.84,2325.99,2722.37,729.329,236.017
Braking,477,238.5,58.7796,-0.928367,-95.4155,11.3544,-95.4155,-3.97564,1.8924,1557.91,1589.71,1786.19,1860.61,1890.61,2325.99,2722.37,790.84,237.008
Braking,478,239,58.3118,-0.935698,-96.169,11.2687,-96.169,-4.00704,1.87812,1557.72,1589.51,1785.96,1860.38,1890.38,2325.99,2722.37,852.602,238.004
Braking,479,239.5,57.8402,-0.943205,-96.9406,11.1829,-96.9406,-4.03919,1.86381,1557.52,1589.3,1785.73,1860.14,1890.14,2325.99,2722.37,914.357,239
Braking,480,240,57.3647,-0.950896,-97.731,11.0968,-97.731,-4.07212,1.84947,1557.31,1589.09,1785.5,1859.89,1889.89,2325.99,2722.37,976.361,240
Braking,481,240.5,56.8854,-0.958777,-98.541,11.0105,-98.541,-4.10587,1.83509,1557.09,1588.87,1785.25,1859.63,1889.63,2325.99,2722.37,1038.36,241
Braking,482,241,56.4019,-0.966857,-99.3714,10.9241,-99.3714,-4.14048,1.82068,1556.87,1588.64,1784.99,1859.37,1889.37,2325.99,2722.37,1100.6,242.004
Braking,483,241.5,55.9144,-0.975144,-100.223,10.8374,-100.223,-4.17596,1.80623,1556.64,1588.41,1784.73,1859.09,1889.09,2325.99,2722.37,1162.84,243.008
Braking,484,242,55.4225,-0.983647,-101.097,10.7505,-101.097,-4.21238,1.79175,1556.4,1588.17,1784.46,1858.81,1888.81,2325.99,2722.37,1225.33,244.017
Braking,485,242.5,54.9263,-0.992376,-101.994,10.6634,-101.994,-4.24976,1.77723,1556.16,1587.92,1784.18,1858.52,1888.52,2325.99,2722.37,1287.8,245.025
Braking,486,243,54.4263,-1,-102.778,10.5761,-102.778,-4.28241,1.76268,1553.84,1585.55,1781.52,1855.75,1885.75,2325.99,2722.37,1350.53,246.037
Braking,487,243.5,53.9263,-1,-102.778,10.4886,-102.778,-4.28241,1.7481,1539.56,1570.98,1765.15,1838.7,1868.7,2325.99,2722.37,1413.16,247.05
Braking,488,244,53.4263,-1,-102.778,10.4017,-102.778,-4.28241,1.73362,1525.29,1556.42,1748.78,1821.65,1851.65,2325.99,2722.37,1475.47,248.067
Braking,489,244.5,52.9263,-1,-102.778,10.3154,-102.778,-4.28241,1.71923,1511.01,1541.85,1732.42,1804.6,1834.6,2325.99,2722.37,1537.21,249.083
Braking,490,245,52.4263,-1,-102.778,10.2296,-102.778,-4.28241,1.70493,1496.74,1527.29,1716.05,1787.55,1817.55,2325.99,2722.37,1598.61,250.104
Braking,491,245.5,51.9263,-1,-102.778,10.1444,-102.778,-4.28241,1.69073,1482.47,1512.72,1699.69,1770.51,1800.51,2325.99,2722.37,1659.44,251.125
Braking,492,246,51.4263,-1,-102.778,10.0597,-102.778,-4.28241,1.67662,1468.19,1498.15,1683.32,1753.46,1783.46,2325.99,2722.37,1719.93,252.15
Braking,493,246.5,50.9263,-1,-102.778,9.97561,-102.778,-4.28241,1.6626,1453.92,1483.59,1666.95,1736.41,1766.41,2325.99,2722.37,1779.84,253.175
Braking,494,247,50.4263,-1,-102.778,9.89206,-102.778,-4.28241,1.64868,1439.64,1469.02,1650.59,1719.36,1749.36,2325.99,2722.37,1839.41,254.204
Braking,495,247.5,49.9263,-1,-102.778,9.80907,-102.778,-4.28241,1.63485,1425.37,1454.46,1634.22,1702.31,1732.31,2325.99,2722.37,1898.39,255.233
Braking,496,248,49.4263,-1,-102.778,9.72664,-102.778,-4.28241,1.62111,1411.09,1439.89,1617.85,1685.26,1715.26,2325.99,2722.37,1957.03,256.267
Braking,497,248.5,48.9263,-1,-102.778,9.64477,-102.778,-4.28241,1.60746,1396.82,1425.32,1601.49,1668.22,1698.22,2325.99,2722.37,2015.08,257.3
Braking,498,249,48.4263,-1,-102.778,9.56345,-102.778,-4.28241,1.59391,1382.54,1410.76,1585.12,1651.17,1681.17,2325.99,2722.37,2072.77,258.337
Braking,499,249.5,47.9263,-1,-102.778,9.48269,-102.778,-4.28241,1.58045,1368.27,1396.19,1568.75,1634.12,1664.12,2325.99,2722.37,2129.87,259.375
Braking,500,250,47.4263,-1,-102.778,9.40249,-102.778,-4.28241,1.56708,1353.99,1381.63,1552.39,1617.07,1647.07,2325.99,2722.37,2186.61,260.417
Braking,501,250.5,46.9263,-1,-102.778,9.32284,-102.778,-4.28241,1.55381,1339.72,1367.06,1536.02,1600.02,1630.02,2325.99,2722.37,2242.76,261.458
Braking,502,251,46.4263,-1,-102.778,9.24376,-102.778,-4.28241,1.54063,1325.44,1352.49,1519.66,1582.97,1612.97,2325.99,2722.37,2298.54,262.504
Braking,503,251.5,45.9263,-1,-102.778,9.16523,-102.778,-4.28241,1.52754,1311.17,1337.93,1503.29,1565.93,1595.93,2325.99,2722.37,2353.72,263.55
Braking,504,252,45.4263,-1,-102.778,9.08726,-102.778,-4.28241,1.51454,1296.89,1323.36,1486.92,1548.88,1578.88,2325.99,2722.37,2408.53,264.6
Braking,505,252.5,44.9263,-1,-102.778,9.00984,-102.778,-4.28241,1.50164,1282.62,1308.8,1470.56,1531.83,1561.83,2325.99,2722.37,2462.74,265.65
Braking,506,253,44.4263,-1,-102.778,8.93299,-102.778,-4.28241,1.48883,1268.34,1294.23,1454.19,1514.78,1544.78,2325.99,2722.37,2516.57,266.704
Braking,507,253.5,43.9263,-1,-102.778,8.85669,-102.778,-4.28241,1.47611,1254.07,1279.66,1437.82,1497.73,1527.73,2325.99,2722.37,2569.8,267.758
Braking,508,254,43.4263,-1,-102.778,8.78095,-102.778,-4.28241,1.46349,1239.8,1265.1,1421.46,1480.69,1510.69,2325.99,2722.37,2622.63,268.817
Braking,509,254.5,42.9263,-1,-102.778,8.70576,-102.778,-4.28241,1.45096,1225.52,1250.53,1405.09,1463.64,1493.64,2325.99,2722.37,2674.87,269.875
Braking,510,255,42.4263,-1,-102.778,8.63114,-102.778,-4.28241,1.43852,1211.25,1235.97,1388.73,1446.59,1476.59,2325.99,2722.37,2726.7,270.937
Braking,511,255.5,41.9263,-1,-102.778,8.55707,-102.778,-4.28241,1.42618,1196.97,1221.4,1372.36,1429.54,1459.54,2325.99,2722.37,2777.94,272
Braking,512,256,41.4263,-1,-102.778,8.48356,-102.778,-4.28241,1.41393,1182.7,1206.83,1355.99,1412.49,1442.49,2325.99,2722.37,2828.77,273.067
Braking,513,256.5,40.9263,-1,-102.778,8.41061,-102.778,-4.28241,1.40177,1168.42,1192.27,1339.63,1395.44,1425.44,2325.99,2722.37,2878.99,274.133
Braking,514,257,40.4263,-1,-102.778,8.33821,-102.778,-4.28241,1.3897,1154.15,1177.7,1323.26,1378.4,1408.4,2325.99,2722.37,2928.8,275.204
Braking,515,257.5,39.9263,-1,-102.778,8.26637,-102.778,-4.28241,1.37773,1139.87,1163.14,1306.89,1361.35,1391.35,2325.99,2722.37,2978,276.275
Braking,516,258,39.4263,-1,-102.778,8.19509,-102.778,-4.28241,1.36585,1125.6,1148.57,1290.53,1344.3,1374.3,2325.99,2722.37,3026.78,277.35
Braking,517,258.5,38.9263,-1,-102.778,8.12437,-102.778,-4.28241,1.35406,1111.32,1134,1274.16,1327.25,1357.25,2325.99,2722.37,3074.95,278.425
