Phase,Iteration,Time,Speed,Acceleration,F motor,F res,F total,F motor/TM,F res/TM,P Wheel,P Motor out, P Motor In, P VVVF in, P Catenary,E motor,E pow,E regen,E APS
Braking,518,259,38.4263,-1,-102.778,8.05421,-102.778,-4.28241,1.34237,1097.05,1119.44,1257.79,1310.2,1340.2,2325.99,2722.37,3122.69,279.504
Braking,519,259.5,37.9263,-1,-102.778,7.9846,-102.778,-4.28241,1.33077,1082.77,1104.87,1241.43,1293.15,1323.15,2325.99,2722.37,3169.83,280.583
Braking,520,260,37.4263,-1,-102.778,7.91555,-102.778,-4.28241,1.31926,1068.5,1090.31,1225.06,1276.11,1306.11,2325.99,2722.37,3216.52,281.667
Braking,521,260.5,36.9263,-1,-102.778,7.84706,-102.778,-4.28241,1.30784,1054.22,1075.74,1208.7,1259.06,1289.06,2325.99,2722.37,3262.6,282.75
Braking,522,261,36.4263,-1,-102.778,7.77912,-102.778,-4.28241,1.29652,1039.95,1061.17,1192.33,1242.01,1272.01,2325.99,2722.37,3308.25,283.837
Braking,523,261.5,35.9263,-1,-102.778,7.71175,-102.778,-4.28241,1.28529,1025.68,1046.61,1175.96,1224.96,1254.96,2325.99,2722.37,3353.27,284.925
Braking,524,262,35.4263,-1,-102.778,7.64493,-102.778,-4.28241,1.27415,1011.4,1032.04,1159.6,1207.91,1237.91,2325.99,2722.37,3397.84,286.017
Braking,525,262.5,34.9263,-1,-102.778,7.57867,-102.778,-4.28241,1.26311,997.126,1017.48,1143.23,1190.87,1220.87,2325.99,2722.37,3441.8,287.108
Braking,526,263,34.4263,-1,-102.778,7.51296,-102.778,-4.28241,1.25216,982.851,1002.91,1126.86,1173.82,1203.82,2325.99,2722.37,3485.3,288.204
Braking,527,263.5,33.9263,-1,-102.778,7.44782,-102.778,-4.28241,1.2413,968.576,988.343,1110.5,1156.77,1186.77,2325.99,2722.37,3528.17,289.3
Braking,528,264,33.4263,-1,-102.778,7.38323,-102.778,-4.28241,1.23054,954.302,973.777,1094.13,1139.72,1169.72,2325.99,2722.37,3570.59,290.4
Braking,529,264.5,32.9263,-1,-102.778,7.3192,-102.778,-4.28241,1.21987,940.027,959.211,1077.77,1122.67,1152.67,2325.99,2722.37,3612.38,291.5
Braking,530,265,32.4263,-1,-102.778,7.25572,-102.778,-4.28241,1.20929,925.752,944.645,1061.4,1105.62,1135.62,2325.99,2722.37,3653.7,292.604
Braking,531,265.5,31.9263,-1,-102.778,7.19281,-102.778,-4.28241,1.1988,911.478,930.079,1045.03,1088.58,1118.58,2325.99,2722.37,3694.39,293.708
Braking,532,266,31.4263,-1,-102.778,7.13045,-102.778,-4.28241,1.18841,897.203,915.513,1028.67,1071.53,1101.53,2325.99,2722.37,3734.61,294.817
Braking,533,266.5,30.9263,-1,-102.778,7.06865,-102.778,-4.28241,1.17811,882.928,900.947,1012.3,1054.48,1084.48,2325.99,2722.37,3774.2,295.925
Braking,534,267,30.4263,-1,-102.778,7.00741,-102.778,-4.28241,1.1679,868.654,886.381,995.934,1037.43,1067.43,2325.99,2722.37,3813.3,297.037
Braking,535,267.5,29.9263,-1,-102.778,6.94672,-102.778,-4.28241,1.15779,854.379,871.815,979.568,1020.38,1050.38,2325.99,2722.37,3851.77,298.15
Braking,536,268,29.4263,-1,-102.778,6.8866,-102.778,-4.28241,1.14777,840.104,857.249,963.201,1003.33,1033.33,2325.99,2722.37,3889.75,299.267
Braking,537,268.5,28.9263,-1,-102.778,6.82703,-102.778,-4.28241,1.13784,825.829,842.683,946.835,986.286,1016.29,2325.99,2722.37,3927.1,300.383
Braking,538,269,28.4263,-1,-102.778,6.76801,-102.778,-4.28241,1.128,811.555,828.117,930.469,969.238,999.238,2325.99,2722.37,3963.95,301.504
Braking,539,269.5,27.9263,-1,-102.778,6.70956,-102.778,-4.28241,1.11826,797.28,813.551,914.102,952.19,982.19,2325.99,2722.37,4000.16,302.625
Braking,540,270,27.4263,-1,-102.778,6.65166,-102.778,-4.28241,1.10861,783.005,798.985,897.736,935.142,965.142,2325.99,2722.37,4035.87,303.75
Braking,541,270.5,26.9263,-1,-102.778,6.59432,-102.778,-4.28241,1.09905,768.731,784.419,881.37,918.093,948.093,2325.99,2722.37,4070.93,304.875
Braking,542,271,26.4263,-1,-102.778,6.53754,-102.778,-4.28241,1.08959,754.456,769.853,865.003,901.045,931.045,2325.99,2722.37,4105.49,306.004
Braking,543,271.5,25.9263,-1,-102.778,6.48132,-102.778,-4.28241,1.08022,740.181,755.287,848.637,883.997,913.997,2325.99,2722.37,4139.4,307.133
Braking,544,272,25.4263,-1,-102.778,6.42565,-102.778,-4.28241,1.07094,725.907,740.721,832.271,866.949,896.949,2325.99,2722.37,4172.8,308.267
Braking,545,272.5,24.9263,-1,-102.778,6.37054,-102.778,-4.28241,1.06176,711.632,726.155,815.904,849.901,879.901,2325.99,2722.37,4205.55,309.4
Braking,546,273,24.4263,-1,-102.778,6.31599,-102.778,-4.28241,1.05266,697.357,711.589,799.538,832.852,862.852,2325.99,2722.37,4237.78,310.537
Braking,547,273.5,23.9263,-1,-102.778,6.26199,-102.778,-4.28241,1.04367,683.083,697.023,783.172,815.804,845.804,2325.99,2722.37,4269.36,311.675
Braking,548,274,23.4263,-1,-102.778,6.20856,-102.778,-4.28241,1.03476,668.808,682.457,766.806,798.756,828.756,2325.99,2722.37,4300.4,312.817
Braking,549,274.5,22.9263,-1,-102.778,6.15568,-102.778,-4.28241,1.02595,654.533,667.891,750.439,781.708,811.708,2325.99,2722.37,4330.8,313.958
Braking,550,275,22.4263,-1,-102.778,6.10336,-102.778,-4.28241,1.01723,640.258,653.325,734.073,764.659,794.659,2325.99,2722.37,4360.66,315.104
Braking,551,275.5,21.9263,-1,-102.778,6.0516,-102.778,-4.28241,1.0086,625.984,638.759,717.707,747.611,777.611,2325.99,2722.37,4389.86,316.25
Braking,552,276,21.4263,-1,-102.778,6.00039,-102.778,-4.28241,1.00007,611.709,624.193,701.34,730.563,760.563,2325.99,2722.37,4418.52,317.4
Braking,553,276.5,20.9263,-1,-102.778,5.94974,-102.778,-4.28241,0.991624,597.434,609.627,684.974,713.515,743.515,2325.99,2722.37,4446.53,318.55
Braking,554,277,20.4263,-1,-102.778,5.89965,-102.778,-4.28241,0.983275,583.16,595.061,668.608,696.466,726.466,2325.99,2722.37,4473.98,319.704
Braking,555,277.5,19.9263,-1,-102.778,5.85012,-102.778,-4.28241,0.97502,568.885,580.495,652.241,679.418,709.418,2325.99,2722.37,4500.77,320.858
Braking,556,278,19.4263,-1,-102.778,5.80114,-102.778,-4.28241,0.966857,554.61,565.929,635.875,662.37,692.37,2325.99,2722.37,4527,322.017
Braking,557,278.5,18.9263,-1,-102.778,5.75273,-102.778,-4.28241,0.958788,540.336,551.363,619.509,645.322,675.322,2325.99,2722.37,4552.58,323.175
Braking,558,279,18.4263,-1,-102.778,5.70487,-102.778,-4.28241,0.950811,526.061,536.797,603.143,628.273,658.273,2325.99,2722.37,4577.58,324.337
Braking,559,279.5,17.9263,-1,-102.778,5.65756,-102.778,-4.28241,0.942927,511.786,522.231,586.776,611.225,641.225,2325.99,2722.37,4601.93,325.5
Braking,560,280,17.4263,-1,-102.778,5.61082,-102.778,-4.28241,0.935136,497.512,507.665,570.41,594.177,624.177,2325.99,2722.37,4625.7,326.667
Braking,561,280.5,16.9263,-1,-102.778,5.56463,-102.778,-4.28241,0.927439,483.237,493.099,554.044,577.129,607.129,2325.99,2722.37,4648.81,327.833
Braking,562,281,16.4263,-1,-102.778,5.519,-102.778,-4.28241,0.919834,468.962,478.533,537.677,560.081,590.081,2325.99,2722.37,4671.33,329.004
Braking,563,281.5,15.9263,-1,-102.778,5.47393,-102.778,-4.28241,0.912322,454.687,463.967,521.311,543.032,573.032,2325.99,2722.37,4693.19,330.175
Braking,564,282,15.4263,-1,-102.778,5.42942,-102.778,-4.28241,0.904903,440.413,449.401,504.945,525.984,555.984,2325.99,2722.37,4714.46,331.35
Braking,565,282.5,14.9263,-1,-102.778,5.38546,-102.778,-4.28241,0.897577,426.138,434.835,488.578,508.936,538.936,2325.99,2722.37,4735.06,332.525
Braking,566,283,14.4263,-1,-102.778,5.34206,-102.778,-4.28241,0.890343,411.863,420.269,472.212,491.888,521.888,2325.99,2722.37,4755.06,333.704
Braking,567,283.5,13.9263,-1,-102.778,5.29922,-102.778,-4.28241,0.883203,397.589,405.703,455.846,474.839,504.839,2325.99,2722.37,4774.4,334.883
Braking,568,284,13.4263,-1,-102.778,5.25694,-102.778,-4.28241,0.876156,383.314,391.137,439.479,457.791,487.791,2325.99,2722.37,4793.13,336.067
Braking,569,284.5,12.9263,-1,-102.778,5.21521,-102.778,-4.28241,0.869202,369.039,376.571,423.113,440.743,470.743,2325.99,2722.37,4811.18,337.25
Braking,570,285,12.4263,-1,-102.778,5.17404,-102.778,-4.28241,0.86234,354.765,362.005,406.747,423.695,453.695,2325.99,2722.37,4828.63,338.437
Braking,571,285.5,11.9263,-1,-102.778,5.13343,-102.778,-4.28241,0.855572,340.49,347.439,390.381,406.646,436.646,2325.99,2722.37,4845.4,339.625
Braking,572,286,11.4263,-1,-102.778,5.09338,-102.778,-4.28241,0.848896,326.215,332.873,374.014,389.598,419.598,2325.99,2722.37,4861.55,340.817
Braking,573,286.5,10.9263,-1,-102.778,5.05388,-102.778,-4.28241,0.842314,311.941,318.307,357.648,372.55,402.55,2325.99,2722.37,4877.03,342.008
Braking,574,287,10.4263,-1,-102.778,5.01494,-102.778,-4.28241,0.835824,297.666,303.741,341.282,355.502,385.502,2325.99,2722.37,4891.88,343.204
Braking,575,287.5,9.92635,-1,-102.778,4.97656,-102.778,-4.28241,0.829427,283.391,289.175,324.915,338.453,368.453,2325.99,2722.37,4906.05,344.4
Braking,576,288,9.42635,-1,-102.778,4.93874,-102.778,-4.28241,0.823123,269.116,274.609,308.549,321.405,351.405,2325.99,2722.37,4919.59,345.6
Braking,577,288.5,8.92635,-1,-102.778,4.90147,-102.778,-4.28241,0.816912,254.842,260.043,292.183,304.357,334.357,2325.99,2722.37,4932.45,346.8
Braking,578,289,8.42635,-1,-102.778,4.86477,-102.778,-4.28241,0.810795,240.567,245.477,275.816,287.309,317.309,2325.99,2722.37,4944.66,348.004
Braking,579,289.5,7.92635,-1,-102.778,4.82862,-102.778,-4.28241,0.80477,226.292,230.911,259.45,270.26,300.26,2325.99,2722.37,4956.19,349.208
Braking,580,290,7.42635,-1,-102.778,4.79303,-102.778,-4.28241,0.798838,212.018,216.345,243.084,253.212,283.212,2325.99,2722.37,4967.08,350.417
Braking,581,290.5,6.92635,-1,-102.778,4.75799,-102.778,-4.28241,0.792998,197.743,201.779,226.717,236.164,266.164,2325.99,2722.37,4977.28,351.625
Braking,582,291,6.42635,-1,-102.778,4.72351,-102.778,-4.28241,0.787252,183.468,187.213,210.351,219.116,249.116,2325.99,2722.37,4986.82,352.837
Braking,583,291.5,5.92635,-1,-102.778,4.68959,-102.778,-4.28241,0.781599,169.194,172.647,193.985,202.068,232.068,2325.99,2722.37,4995.68,354.05
Braking,584,292,5.42635,-1,-102.778,4.65623,-102.778,-4.28241,0.776039,154.919,158.08,177.619,185.019,215.019,2325.99,2722.37,5003.87,355.267
Braking,585,292.5,4.92635,-1,-102.778,4.62343,-102.778,-4.28241,0.770571,140.644,143.514,161.252,167.971,197.971,2325.99,2722.37,5011.38,356.483
Braking,586,293,4.42635,-1,-102.778,4.59118,-102.778,-4.28241,0.765197,126.37,128.948,144.886,150.923,180.923,2325.99,2722.37,5018.21,357.704
Braking,587,293.5,3.92635,-1,-102.778,4.55949,-102.778,-4.28241,0.759915,112.095,114.382,128.52,133.875,163.875,2325.99,2722.37,5024.36,358.925
Braking,588,294,3.42635,-1,-102.778,4.52836,-102.778,-4.28241,0.754727,97.8201,99.8164,112.153,116.826,146.826,2325.99,2722.37,5029.82,360.15
Braking,589,294.5,2.92635,-1,-102.778,4.49779,-102.778,-4.28241,0.749631,83.5454,85.2504,95.787,99.7781,129.778,2325.99,2722.37,5034.59,361.375
Braking,590,295,2.42635,-1,-102.778,4.46777,-102.778,-4.28241,0.744629,69.2707,70.6844,79.4207,82.7299,112.73,2325.99,2722.37,5038.68,362.604
Braking,591,295.5,1.92635,-1,-102.778,4.43831,-102.778,-4.28241,0.739719,54.996,56.1184,63.0544,65.6817,95.6817,2325.99,2722.37,5042.07,363.833
Braking,592,296,1.42635,-1,-102.778,4.40941,-102.778,-4.28241,0.734902,40.7213,41.5524,46.6881,48.6334,78.6334,2325.99,2722.37,5044.77,365.067
Braking,593,296.5,0.926348,-1,-102.778,4.38107,-102.778,-4.28241,0.730178,26.4467,26.9864,30.3218,31.5852,61.5852,2325.99,2722.37,5046.77,366.3
Braking,594,297,0.426348,-1,-102.778,4.35328,-102.778,-4.28241,0.725547,12.172,12.4204,13.9555,14.537,44.537,2325.99,2722.37,5048.07,367.537
Stopped,595,297,0,0,-102.778,13.1037,-102.778,-4.28241,0.725547,12.172,12.4204,13.9555,14.537,44.537,2325.99,2722.37,5048.67,367.537
