Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,92,46,46.8215,0.760529,87.333,9.16756,78.1654
Accelerating,93,46.5,47.198,0.753047,86.6237,9.22724,77.3965
Accelerating,94,47,47.5709,0.745745,85.9327,9.28666,76.646
Accelerating,95,47.5,47.9402,0.738616,85.2591,9.34581,75.9133
Accelerating,96,48,48.306,0.731652,84.6023,9.4047,75.1976
Accelerating,97,48.5,48.6684,0.724848,83.9616,9.46334,74.4983
Accelerating,98,49,49.0275,0.718197,83.3364,9.52172,73.8146
Accelerating,99,49.5,49.3834,0.711692,82.726,9.57986,73.1461
Accelerating,100,50,49.7361,0.705329,82.1299,9.63776,72.4921
Accelerating,101,50.5,50.0856,0.699101,81.5475,9.69542,71.8521
Accelerating,102,51,50.4321,0.693005,80.9784,9.75284,71.2255
Accelerating,103,51.5,50.7756,0.687036,80.422,9.81003,70.612
Accelerating,104,52,51.1162,0.681187,79.8779,9.86699,70.0109
Accelerating,105,52.5,51.4539,0.675457,79.3457,9.92373,69.422
Accelerating,106,53,51.7889,0.66984,78.8249,9.98024,68.8446
Accelerating,107,53.5,52.121,0.664332,78.3151,10.0365,68.2786
Accelerating,108,54,52.4505,0.65893,77.816,10.0926,67.7234
Accelerating,109,54.5,52.7773,0.653631,77.3272,10.1485,67.1787
Accelerating,110,55,53.1015,0.64843,76.8484,10.2041,66.6442
Accelerating,111,55.5,53.4232,0.643326,76.3792,10.2596,66.1196
Accelerating,112,56,53.7423,0.638314,75.9193,10.3148,65.6045
Accelerating,113,56.5,54.059,0.633391,75.4684,10.3699,65.0986
Accelerating,114,57,54.3733,0.628556,75.0263,10.4247,64.6016
Accelerating,115,57.5,54.6852,0.623805,74.5927,10.4794,64.1133
Accelerating,116,58,54.9948,0.619136,74.1672,10.5338,63.6334
Accelerating,117,58.5,55.3021,0.614546,73.7497,10.5881,63.1617
Accelerating,118,59,55.6071,0.610033,73.34,10.6421,62.6978
Accelerating,119,59.5,55.9099,0.605595,72.9377,10.696,62.2417
Accelerating,120,60,56.2105,0.601229,72.5427,10.7497,61.793
Accelerating,121,60.5,56.509,0.596933,72.1547,10.8032,61.3515
Accelerating,122,61,56.8053,0.592707,71.7736,10.8565,60.9171
Accelerating,123,61.5,57.0996,0.588546,71.3992,10.9097,60.4895
Accelerating,124,62,57.3918,0.584451,71.0312,10.9626,60.0685
Accelerating,125,62.5,57.682,0.580418,70.6695,11.0154,59.6541
Accelerating,126,63,57.9702,0.576447,70.314,11.068,59.2459
Accelerating,127,63.5,58.2565,0.572535,69.9644,11.1205,58.8439
Accelerating,128,64,58.5408,0.568682,69.6206,11.1727,58.4478
Accelerating,129,64.5,58.8233,0.564885,69.2824,11.2248,58.0576
Accelerating,130,65,59.1039,0.561143,68.9497,11.2768,57.673
Accelerating,131,65.5,59.3826,0.557454,68.6224,11.3285,57.2939
Accelerating,132,66,59.6595,0.553819,68.3003,11.3801,56.9202
Accelerating,133,66.5,59.9346,0.550234,67.9833,11.4315,56.5518
Accelerating,134,67,60.208,0.546699,67.6713,11.4828,56.1885
Accelerating,135,67.5,60.4796,0.543212,67.364,11.5339,55.8301
Accelerating,136,68,60.7495,0.539773,67.0615,11.5848,55.4767
Accelerating,137,68.5,61.0176,0.53638,66.7636,11.6356,55.128
Accelerating,138,69,61.2842,0.533033,66.4701,11.6862,54.7839
Accelerating,139,69.5,61.549,0.529729,66.1811,11.7367,54.4444
Accelerating,140,70,61.8123,0.526469,65.8963,11.787,54.1093
Accelerating,141,70.5,62.0739,0.52325,65.6156,11.8371,53.7785
Accelerating,142,71,62.3339,0.520073,65.3391,11.8871,53.4519
Accelerating,143,71.5,62.5924,0.516936,65.0665,11.937,53.1295
Accelerating,144,72,62.8493,0.513838,64.7978,11.9867,52.8111
Accelerating,145,72.5,63.1047,0.510779,64.5329,12.0362,52.4967
Accelerating,146,73,63.3586,0.507757,64.2718,12.0856,52.1862
Accelerating,147,73.5,63.611,0.504772,64.0142,12.1349,51.8794
Accelerating,148,74,63.8619,0.501823,63.7602,12.184,51.5763
Accelerating,149,74.5,64.1113,0.498909,63.5097,12.2329,51.2768
Accelerating,150,75,64.3593,0.49603,63.2626,12.2817,50.9809
Accelerating,151,75.5,64.6059,0.493185,63.0188,12.3304,50.6884
Accelerating,152,76,64.8511,0.490372,62.7783,12.3789,50.3994
Accelerating,153,76.5,65.0949,0.487592,62.541,12.4273,50.1136
Accelerating,154,77,65.3369,0.48396,62.2159,12.4755,49.7403
Accelerating,155,77.5,65.5764,0.479017,61.7559,12.5236,49.2323
Accelerating,156,78,65.8135,0.474172,61.3056,12.5712,48.7344
Accelerating,157,78.5,66.0482,0.469422,60.8647,12.6185,48.2462
Accelerating,158,79,66.2806,0.464764,60.4329,12.6654,47.7674
Accelerating,159,79.5,66.5107,0.460195,60.0099,12.712,47.2978
Accelerating,160,80,66.7385,0.455712,59.5954,12.7583,46.8371
Accelerating,161,80.5,66.9642,0.451312,59.1891,12.8042,46.3849
Accelerating,162,81,67.1877,0.446994,58.7909,12.8498,45.9411
Accelerating,163,81.5,67.4091,0.442754,58.4004,12.8951,45.5053
Accelerating,164,82,67.6284,0.438591,58.0174,12.94,45.0774
Accelerating,165,82.5,67.8456,0.434502,57.6418,12.9847,44.6571
Accelerating,166,83,68.0609,0.430484,57.2732,13.029,44.2442
Accelerating,167,83.5,68.2741,0.426537,56.9116,13.073,43.8385
Accelerating,168,84,68.4855,0.422658,56.5566,13.1168,43.4398
Accelerating,169,84.5,68.6949,0.418844,56.2081,13.1602,43.0479
Accelerating,170,85,68.9024,0.415095,55.8659,13.2033,42.6626
Accelerating,171,85.5,69.1081,0.411409,55.5298,13.2461,42.2837
Accelerating,172,86,69.312,0.407783,55.1997,13.2887,41.911
Accelerating,173,86.5,69.5141,0.404217,54.8755,13.331,41.5445
Accelerating,174,87,69.7145,0.400708,54.5568,13.373,41.1839
Accelerating,175,87.5,69.9131,0.397255,54.2437,13.4147,40.829
Accelerating,176,88,70.11,0.393857,53.9359,13.4561,40.4798
Coasting,177,88.5,70.0444,-0.131325,0,13.4973,-13.4973
Coasting,178,89,69.9788,-0.131191,0,13.4836,-13.4836
Coasting,179,89.5,69.9133,-0.131058,0,13.4698,-13.4698
Coasting,180,90,69.8478,-0.130925,0,13.4561,-13.4561
Coasting,181,90.5,69.7824,-0.130792,0,13.4425,-13.4425
Coasting,182,91,69.7171,-0.130659,0,13.4288,-13.4288
Coasting,183,91.5,69.6518,-0.130526,0,13.4152,-13.4152
Coasting,184,92,69.5866,-0.130394,0,13.4016,-13.4016
Coasting,185,92.5,69.5215,-0.130262,0,13.388,-13.388
Coasting,186,93,69.4564,-0.13013,0,13.3745,-13.3745
Coasting,187,93.5,69.3914,-0.129998,0,13.361,-13.361
Coasting,188,94,69.3265,-0.129867,0,13.3474,-13.3474
Coasting,189,94.5,69.2616,-0.129736,0,13.334,-13.334
Coasting,190,95,69.1968,-0.129605,0,13.3205,-13.3205
Coasting,191,95.5,69.1321,-0.129474,0,13.3071,-13.3071
Coasting,192,96,69.0674,-0.129344,0,13.2936,-13.2936
Coasting,193,96.5,69.0028,-0.129213,0,13.2803,-13.2803
Coasting,194,97,68.9383,-0.129083,0,13.2669,-13.2669
Coasting,195,97.5,68.8738,-0.128953,0,13.2535,-13.2535
Coasting,196,98,68.8094,-0.128824,0,13.2402,-13.2402
Coasting,197,98.5,68.745,-0.128694,0,13.2269,-13.2269
Coasting,198,99,68.6807,-0.128565,0,13.2136,-13.2136
Coasting,199,99.5,68.6165,-0.128436,0,13.2004,-13.2004
Coasting,200,100,68.5524,-0.128307,0,13.1871,-13.1871
Coasting,201,100.5,68.4883,-0.128179,0,13.1739,-13.1739
Coasting,202,101,68.4242,-0.128051,0,13.1608,-13.1608
Coasting,203,101.5,68.3603,-0.127922,0,13.1476,-13.1476
Coasting,204,102,68.2964,-0.127795,0,13.1344,-13.1344
Coasting,205,102.5,68.2326,-0.127667,0,13.1213,-13.1213
Coasting,206,103,68.1688,-0.127539,0,13.1082,-13.1082
Coasting,207,103.5,68.1051,-0.127412,0,13.0951,-13.0951
Coasting,208,104,68.0414,-0.127285,0,13.0821,-13.0821
Coasting,209,104.5,67.9779,-0.127158,0,13.0691,-13.0691
Coasting,210,105,67.9143,-0.127032,0,13.056,-13.056
Coasting,211,105.5,67.8509,-0.126905,0,13.0431,-13.0431
Coasting,212,106,67.7875,-0.126779,0,13.0301,-13.0301
