Speed,F Motor,P_vvvf,P_catenary,Catenary current,VVVFcurrent
55.0709,10.5468,1294.72,1324.72,883.144,863.144
55.377,10.6009,1294.62,1324.62,883.081,863.081
55.6809,10.6548,1294.53,1324.53,883.019,863.019
55.9825,10.7086,1294.44,1324.44,882.959,862.959
56.282,10.7621,1294.35,1324.35,882.9,862.9
56.5793,10.8154,1294.26,1324.26,882.843,862.843
56.8745,10.8686,1294.18,1324.18,882.787,862.787
57.1675,10.9216,1294.1,1324.1,882.732,862.732
57.4586,10.9744,1294.02,1324.02,882.679,862.679
57.7476,11.027,1293.94,1323.94,882.626,862.626
58.0345,11.0794,1293.86,1323.86,882.575,862.575
58.3196,11.1317,1293.79,1323.79,882.525,862.525
58.6027,11.1837,1293.71,1323.71,882.476,862.476
58.8839,11.2356,1293.64,1323.64,882.428,862.428
59.1632,11.2874,1293.57,1323.57,882.38,862.38
59.4406,11.3389,1293.5,1323.5,882.334,862.334
59.7162,11.3903,1293.43,1323.43,882.289,862.289
59.99,11.4415,1293.37,1323.37,882.245,862.245
60.2621,11.4926,1293.3,1323.3,882.202,862.202
60.5324,11.5435,1293.24,1323.24,882.159,862.159
60.8009,11.5942,1293.18,1323.18,882.117,862.117
61.0678,11.6448,1293.11,1323.11,882.076,862.076
61.3329,11.6952,1293.05,1323.05,882.036,862.036
61.5964,11.7454,1293,1323,881.997,861.997
61.8583,11.7955,1292.94,1322.94,881.958,861.958
62.1185,11.8454,1292.88,1322.88,881.92,861.92
62.3772,11.8952,1292.82,1322.82,881.883,861.883
62.6343,11.9448,1292.77,1322.77,881.847,861.847
62.8898,11.9942,1292.72,1322.72,881.811,861.811
63.1437,12.0435,1292.66,1322.66,881.775,861.775
63.3962,12.0927,1292.61,1322.61,881.741,861.741
63.6471,12.1416,1292.56,1322.56,881.707,861.707
63.8966,12.1905,1292.51,1322.51,881.673,861.673
64.1446,12.2392,1292.46,1322.46,881.641,861.641
64.3911,12.2877,1292.41,1322.41,881.608,861.608
64.6362,12.3361,1292.36,1322.36,881.577,861.577
64.8799,12.3844,1292.32,1322.32,881.545,861.545
65.1222,12.4325,1292.27,1322.27,881.515,861.515
65.3626,12.4804,1289.79,1319.79,879.86,859.86
65.6005,12.5281,1284.98,1314.98,876.654,856.654
65.8359,12.5755,1280.26,1310.26,873.505,853.505
66.069,12.6224,1275.62,1305.62,870.411,850.411
66.2997,12.6691,1271.06,1301.06,867.371,847.371
66.5281,12.7153,1266.57,1296.57,864.383,844.383
66.7543,12.7613,1262.17,1292.17,861.445,841.445
66.9783,12.8069,1257.84,1287.84,858.557,838.557
67.2001,12.8521,1253.57,1283.57,855.717,835.717
67.4198,12.8971,1249.38,1279.38,852.923,832.923
67.6374,12.9417,1245.26,1275.26,850.174,830.174
67.853,12.986,1241.2,1271.2,847.469,827.469
68.0665,13.03,1237.21,1267.21,844.808,824.808
68.2781,13.0737,1233.28,1263.28,842.189,822.189
68.4877,13.117,1229.41,1259.41,839.61,819.61
68.6954,13.1601,1225.61,1255.61,837.071,817.071
68.9013,13.2029,1221.86,1251.86,834.571,814.571
69.1052,13.2454,1218.16,1248.16,832.108,812.108
69.3074,13.2876,1214.52,1244.52,829.683,809.683
69.5078,13.3295,1210.94,1240.94,827.293,807.293
69.7064,13.3711,1207.41,1237.41,824.939,804.939
69.9033,13.4125,1203.93,1233.93,822.619,802.619
70.0985,13.4535,1200.5,1230.5,820.333,800.333
70.0295,13.4943,0,30,20,0
69.9605,13.4799,0,30,20,0
69.8917,13.4655,0,30,20,0
69.8229,13.4511,0,30,20,0
69.7542,13.4368,0,30,20,0
69.6855,13.4224,0,30,20,0
69.617,13.4081,0,30,20,0
69.5485,13.3938,0,30,20,0
69.4801,13.3796,0,30,20,0
69.4117,13.3653,0,30,20,0
69.3435,13.3511,0,30,20,0
69.2753,13.337,0,30,20,0
69.2071,13.3228,0,30,20,0
69.1391,13.3087,0,30,20,0
69.0711,13.2946,0,30,20,0
69.0032,13.2805,0,30,20,0
68.9353,13.2664,0,30,20,0
68.8676,13.2524,0,30,20,0
68.7999,13.2384,0,30,20,0
68.7322,13.2244,0,30,20,0
68.6647,13.2105,0,30,20,0
68.5972,13.1965,0,30,20,0
68.5298,13.1826,0,30,20,0
68.4625,13.1688,0,30,20,0
68.3952,13.1549,0,30,20,0
68.328,13.1411,0,30,20,0
68.2609,13.1273,0,30,20,0
68.1938,13.1135,0,30,20,0
68.1268,13.0997,0,30,20,0
68.0599,13.086,0,30,20,0
67.9931,13.0723,0,30,20,0
67.9263,13.0586,0,30,20,0
67.8596,13.045,0,30,20,0
67.7929,13.0313,0,30,20,0
67.7264,13.0177,0,30,20,0
67.6599,13.0041,0,30,20,0
67.5934,12.9906,0,30,20,0
67.5271,12.977,0,30,20,0
67.4608,12.9635,0,30,20,0
67.3946,12.95,0,30,20,0
67.3284,12.9366,0,30,20,0
67.2623,12.9231,0,30,20,0
67.1963,12.9097,0,30,20,0
67.1304,12.8963,0,30,20,0
67.0645,12.8829,0,30,20,0
66.9987,12.8696,0,30,20,0
66.9329,12.8563,0,30,20,0
66.8673,12.843,0,30,20,0
66.8016,12.8297,0,30,20,0
66.7361,12.8164,0,30,20,0
66.6706,12.8032,0,30,20,0
66.6052,12.79,0,30,20,0
66.5399,12.7768,0,30,20,0
66.4746,12.7637,0,30,20,0
66.4094,12.7505,0,30,20,0
66.3443,12.7374,0,30,20,0
66.2792,12.7243,0,30,20,0
66.2142,12.7112,0,30,20,0
66.1493,12.6982,0,30,20,0
66.0844,12.6852,0,30,20,0
66.0196,12.6722,0,30,20,0
65.9549,12.6592,0,30,20,0
65.8902,12.6462,0,30,20,0
65.8256,12.6333,0,30,20,0
65.7611,12.6204,0,30,20,0
65.6966,12.6075,0,30,20,0
65.6322,12.5946,0,30,20,0
65.5679,12.5818,0,30,20,0
65.5036,12.569,0,30,20,0
65.4394,12.5562,0,30,20,0
65.3752,12.5434,0,30,20,0
65.3112,12.5306,0,30,20,0
65.2472,12.5179,0,30,20,0
65.1832,12.5052,0,30,20,0
65.1193,12.4925,0,30,20,0
65.0555,12.4799,0,30,20,0
64.9918,12.4672,0,30,20,0
64.9281,12.4546,0,30,20,0
65.1701,12.442,1292.26,1322.26,881.509,861.509
65.4099,12.4899,1288.83,1318.83,879.22,859.22
65.6473,12.5375,1284.04,1314.04,876.025,856.025
65.8823,12.5848,1279.33,1309.33,872.888,852.888
66.1149,12.6317,1274.71,1304.71,869.804,849.804
66.3452,12.6783,1270.16,1300.16,866.775,846.775
66.5731,12.7245,1265.7,1295.7,863.797,843.797
66.7989,12.7704,1261.3,1291.3,860.869,840.869
67.0224,12.8159,1256.99,1286.99,857.99,837.99
67.2438,12.8611,1252.74,1282.74,855.159,835.159
67.4631,12.906,1248.56,1278.56,852.374,832.374
