Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,137,1.10393,80.9396,18.6845,1261.75,68,0.433702,55.3644,12.958,42.4064,2.30685,2.15967,7.93557,1258.43,1045.77,1067.11,1199.01,1248.96,1278.96,852.642,832.642
Accelerating,138,1.1281,82.0677,18.825,1280.58,68.5,0.424362,54.5532,13.06,41.4932,2.27305,2.17667,7.8193,1267.69,1038.03,1059.21,1190.12,1239.71,1269.71,846.475,826.475
Accelerating,139,1.15287,83.2206,18.9655,1299.54,69,0.415198,53.7597,13.1626,40.5971,2.23999,2.19377,7.70556,1276.94,1030.39,1051.42,1181.37,1230.6,1260.6,840.399,820.399
Accelerating,140,1.17824,84.3988,19.1061,1318.65,69.5,0.406203,52.9834,13.2658,39.7176,2.20764,2.21096,7.59429,1286.19,1022.87,1043.75,1172.75,1221.62,1251.62,834.411,814.411
Accelerating,141,1.20425,85.6031,19.2467,1337.9,70,0.397374,52.2238,13.3695,38.8543,2.17599,2.22825,7.48541,1295.45,1015.46,1036.19,1164.25,1212.77,1242.77,828.51,808.51
Accelerating,142,1.23091,86.834,19.3874,1357.28,70.5,0.388705,51.4804,13.4737,38.0067,2.14502,2.24562,7.37886,1304.7,1008.16,1028.73,1155.88,1204.04,1234.04,822.694,802.694
Accelerating,143,1.25826,88.0923,19.5281,1376.81,71,0.380191,50.7528,13.5786,37.1742,2.1147,2.26309,7.27457,1313.95,1000.96,1021.39,1147.62,1195.44,1225.44,816.961,796.961
Accelerating,144,1.28632,89.3786,19.6688,1396.48,71.5,0.371828,50.0405,13.6839,36.3565,2.08502,2.28066,7.17247,1323.21,993.86,1014.14,1139.49,1186.96,1216.96,811.31,791.31
Accelerating,145,1.31513,90.6937,19.8096,1416.29,72,0.363612,49.3431,13.7899,35.5532,2.05596,2.29831,7.07251,1332.46,986.861,1007,1131.46,1178.61,1208.61,805.738,785.738
Accelerating,146,1.34471,92.0384,19.9504,1436.24,72.5,0.355538,48.6601,13.8964,34.7638,2.02751,2.31606,6.97462,1341.71,979.961,999.96,1123.55,1170.37,1200.37,800.244,780.244
Accelerating,147,1.37509,93.4135,20.0913,1456.33,73,0.347603,47.9913,14.0034,33.9879,1.99964,2.3339,6.87875,1350.97,973.156,993.017,1115.75,1162.24,1192.24,794.826,774.826
Accelerating,148,1.40632,94.8198,20.2323,1476.56,73.5,0.339802,47.3361,14.111,33.2251,1.97234,2.35184,6.78484,1360.22,966.445,986.169,1108.05,1154.22,1184.22,789.483,769.483
Accelerating,149,1.43842,96.2583,20.3733,1496.94,74,0.332131,46.6943,14.2192,32.4751,1.94559,2.36987,6.69285,1369.47,959.827,979.415,1100.47,1146.32,1176.32,784.213,764.213
Accelerating,150,1.47145,97.7297,20.5143,1517.45,74.5,0.324588,46.0654,14.3279,31.7375,1.91939,2.38799,6.60271,1378.73,953.298,972.753,1092.98,1138.52,1168.52,779.014,759.014
Accelerating,151,1.50543,99.2351,20.6554,1538.11,75,0.317168,45.4491,14.4372,31.0119,1.89371,2.4062,6.51438,1387.98,946.857,966.181,1085.6,1130.83,1160.83,773.886,753.886
Accelerating,152,1.54041,100.776,20.7966,1558.9,75.5,0.309867,44.8452,14.547,30.2981,1.86855,2.42451,6.42781,1397.23,940.503,959.697,1078.31,1123.24,1153.24,768.827,748.827
Accelerating,153,1.57645,102.352,20.9379,1579.84,76,0.302684,44.2532,14.6574,29.5957,1.84388,2.4429,6.34295,1406.49,934.233,953.299,1071.12,1115.75,1145.75,763.835,743.835
Accelerating,154,1.61359,103.966,21.0792,1600.92,76.5,0.295613,43.6728,14.7684,28.9044,1.8197,2.4614,6.25977,1415.74,928.047,946.987,1064.03,1108.36,1138.36,758.91,738.91
Accelerating,155,1.65189,105.617,21.2206,1622.14,77,0.288653,43.1038,14.8799,28.2239,1.79599,2.47998,6.17821,1424.99,921.942,940.757,1057.03,1101.07,1131.07,754.049,734.049
Accelerating,156,1.6914,107.309,21.362,1643.5,77.5,0.281801,42.5458,14.992,27.5539,1.77274,2.49866,6.09823,1434.25,915.917,934.609,1050.12,1093.88,1123.88,749.252,729.252
Accelerating,157,1.73218,109.041,21.5036,1665.01,78,0.275052,41.9986,15.1046,26.894,1.74994,2.51743,6.0198,1443.5,909.97,928.541,1043.3,1086.77,1116.77,744.517,724.517
Accelerating,158,1.7743,110.815,21.6452,1686.65,78.5,0.268406,41.4619,15.2178,26.2441,1.72758,2.53629,5.94287,1452.75,904.099,922.55,1036.57,1079.76,1109.76,739.843,719.843
Accelerating,159,1.81784,112.633,21.7869,1708.44,79,0.261858,40.9354,15.3315,25.6039,1.70564,2.55525,5.86741,1462,898.304,916.637,1029.93,1072.84,1102.84,735.229,715.229
Accelerating,160,1.86285,114.496,21.9287,1730.37,79.5,0.255406,40.4189,15.4458,24.9731,1.68412,2.5743,5.79337,1471.26,892.583,910.799,1023.37,1066.01,1096.01,730.673,710.673
Accelerating,161,1.90943,116.405,22.0707,1752.44,80,0.249048,39.912,15.5607,24.3514,1.663,2.59344,5.72073,1480.51,886.934,905.035,1016.89,1059.26,1089.26,726.176,706.176
Accelerating,162,1.95767,118.363,22.2127,1774.65,80.5,0.242781,39.4147,15.6761,23.7386,1.64228,2.61268,5.64944,1489.76,881.357,899.343,1010.5,1052.6,1082.6,721.735,701.735
Accelerating,163,2.00764,120.371,22.3548,1797.01,81,0.236603,38.9266,15.7921,23.1345,1.62194,2.63201,5.57948,1499.02,875.849,893.723,1004.18,1046.02,1076.02,717.349,697.349
Accelerating,164,2.05947,122.43,22.497,1819.5,81.5,0.230512,38.4475,15.9086,22.5389,1.60198,2.65143,5.51081,1508.27,870.409,888.172,997.946,1039.53,1069.53,713.018,693.018
Accelerating,165,2.11324,124.543,22.6394,1842.14,82,0.224504,37.9772,16.0257,21.9515,1.58238,2.67094,5.4434,1517.52,865.036,882.69,991.787,1033.11,1063.11,708.741,688.741
Accelerating,166,2.16909,126.713,22.7819,1864.92,82.5,0.218579,37.5155,16.1433,21.3722,1.56315,2.69055,5.37722,1526.78,859.73,877.275,985.703,1026.77,1056.77,704.516,684.516
Accelerating,167,2.22713,128.94,22.9245,1887.85,83,0.212734,37.0621,16.2615,20.8006,1.54426,2.71025,5.31224,1536.03,854.488,871.926,979.693,1020.51,1050.51,700.342,680.342
Accelerating,168,2.2875,131.227,23.0672,1910.92,83.5,0.206966,36.6169,16.3803,20.2367,1.52571,2.73005,5.24843,1545.28,849.31,866.642,973.756,1014.33,1044.33,696.219,676.219
Accelerating,169,2.35036,133.578,23.2102,1934.13,84,0.201274,36.1797,16.4996,19.6801,1.50749,2.74993,5.18576,1554.54,844.194,861.422,967.89,1008.22,1038.22,692.146,672.146
Accelerating,170,2.41586,135.993,23.3532,1957.48,84.5,0.195656,35.7503,16.6195,19.1308,1.4896,2.76991,5.12421,1563.79,839.139,856.264,962.095,1002.18,1032.18,688.121,668.121
Accelerating,171,2.48417,138.478,23.4965,1980.98,85,0.19011,35.3285,16.7399,18.5886,1.47202,2.78998,5.06375,1573.04,834.144,851.168,956.368,996.217,1026.22,684.145,664.145
Accelerating,172,2.5555,141.033,23.6399,2004.62,85.5,0.184635,34.9141,16.8609,18.0532,1.45475,2.81015,5.00435,1582.3,829.209,846.132,950.71,990.323,1020.32,680.215,660.215
Accelerating,173,2.63005,143.663,23.7835,2028.4,86,0.179228,34.5069,16.9824,17.5245,1.43779,2.83041,4.94599,1591.55,824.332,841.155,945.118,984.498,1014.5,676.332,656.332
Accelerating,174,2.70805,146.371,23.9274,2052.33,86.5,0.173887,34.1068,17.1045,17.0023,1.42112,2.85076,4.88865,1600.8,819.511,836.236,939.591,978.741,1008.74,672.494,652.494
Accelerating,175,2.78975,149.161,24.0714,2076.4,87,0.168612,33.7137,17.2272,16.4865,1.40474,2.8712,4.83229,1610.06,814.747,831.375,934.129,973.051,1003.05,668.7,648.7
Accelerating,176,2.87543,152.036,24.2157,2100.61,87.5,0.1634,33.3273,17.3504,15.9768,1.38864,2.89174,4.77691,1619.31,810.038,826.569,928.729,967.427,997.427,664.951,644.951
Accelerating,177,2.9654,155.002,24.3603,2124.97,88,0.158249,32.9475,17.4742,15.4733,1.37281,2.91237,4.72247,1628.56,805.383,821.819,923.392,961.867,991.867,661.245,641.245
Accelerating,178,3.05998,158.062,24.5051,2149.48,88.5,0.153159,32.5741,17.5985,14.9756,1.35726,2.93309,4.66896,1637.82,800.781,817.123,918.116,956.371,986.371,657.581,637.581
Accelerating,179,3.15957,161.221,24.6502,2174.13,89,0.148128,32.2071,17.7234,14.4837,1.34196,2.95391,4.61635,1647.07,796.231,812.481,912.9,950.937,980.937,653.958,633.958
Accelerating,180,3.26457,164.486,24.7957,2198.93,89.5,0.143155,31.8462,17.8489,13.9974,1.32693,2.97481,4.56463,1656.32,791.733,807.891,907.743,945.565,975.565,650.377,630.377
Accelerating,181,3.37545,167.861,24.9415,2223.87,90,0.138237,31.4914,17.9749,13.5165,1.31214,2.99582,4.51377,1665.57,787.285,803.352,902.643,940.253,970.253,646.836,626.836
Accelerating,182,3.49272,171.354,25.0876,2248.95,90.5,0.133374,31.1425,18.1015,13.041,1.2976,3.01691,4.46376,1674.83,782.887,798.865,897.601,935.001,965.001,643.334,623.334
Accelerating,183,3.61697,174.971,25.2342,2274.19,91,0.128564,30.7993,18.2286,12.5707,1.2833,3.0381,4.41457,1684.08,778.538,794.427,892.614,929.807,959.807,639.871,619.871
Accelerating,184,3.74885,178.72,25.3812,2299.57,91.5,0.123807,30.4618,18.3563,12.1055,1.26924,3.05938,4.36619,1693.33,774.237,790.038,887.683,924.67,954.67,636.447,616.447
Accelerating,185,3.8891,182.609,25.5287,2325.1,92,0.119099,30.1298,18.4845,11.6453,1.25541,3.08075,4.3186,1702.59,769.983,785.697,882.806,919.59,949.59,633.06,613.06
Accelerating,186,4.03856,186.648,25.6767,2350.78,92.5,0.114442,29.8032,18.6133,11.1899,1.2418,3.10222,4.27179,1711.84,765.776,781.404,877.982,914.565,944.565,629.71,609.71
Accelerating,187,4.19817,190.846,25.8253,2376.6,93,0.109833,29.4819,18.7427,10.7392,1.22841,3.12378,4.22573,1721.09,761.615,777.158,873.211,909.595,939.595,626.396,606.396
Accelerating,188,4.36903,195.215,25.9746,2402.58,93.5,0.105271,29.1657,18.8726,10.2931,1.21524,3.14543,4.18042,1730.35,757.498,772.957,868.491,904.678,934.678,623.119,603.119
Accelerating,189,4.55238,199.767,26.1245,2428.7,94,0.100755,28.8546,19.003,9.85156,1.20227,3.16717,4.13583,1739.6,753.426,768.802,863.822,899.815,929.815,619.876,599.876
Accelerating,190,4.74966,204.517,26.2752,2454.98,94.5,0.0962834,28.5485,19.1341,9.41438,1.18952,3.18901,4.09194,1748.85,749.397,764.691,859.203,895.003,925.003,616.669,596.669
Accelerating,191,4.96255,209.479,26.4268,2481.4,95,0.0918562,28.2471,19.2657,8.9815,1.17696,3.21094,4.04876,1758.11,745.411,760.623,854.633,890.243,920.243,613.495,593.495
Accelerating,192,5.193,214.672,26.5793,2507.98,95.5,0.0874718,27.9506,19.3978,8.5528,1.16461,3.23297,4.00625,1767.36,741.467,756.599,850.111,885.533,915.533,610.355,590.355
Accelerating,193,5.44329,220.116,26.7329,2534.71,96,0.0831292,27.6587,19.5305,8.12819,1.15245,3.25508,3.96441,1776.61,737.565,752.617,845.637,880.872,910.872,607.248,587.248
Accelerating,194,5.71613,225.832,26.8877,2561.6,96.5,0.0788274,27.3713,19.6638,7.70757,1.14047,3.27729,3.92322,1785.87,733.704,748.677,841.21,876.261,906.261,604.174,584.174
Accelerating,195,6.01474,231.847,27.0439,2588.65,97,0.0745655,27.0884,19.7976,7.29085,1.12868,3.2996,3.88267,1795.12,729.882,744.778,836.829,871.697,901.697,601.131,581.131
Accelerating,196,6.34297,238.189,27.2016,2615.85,97.5,0.0703425,26.8099,19.9319,6.87793,1.11708,3.32199,3.84275,1804.37,726.101,740.919,832.493,867.181,897.181,598.12,578.12
Accelerating,197,6.70552,244.895,27.3611,2643.21,98,0.0661575,26.5356,20.0669,6.46873,1.10565,3.34448,3.80344,1813.63,722.358,737.1,828.202,862.711,892.711,595.141,575.141
Accelerating,198,7.10808,252.003,27.5226,2670.73,98.5,0.0620096,26.2655,20.2024,6.06316,1.0944,3.36706,3.76473,1822.88,718.654,733.32,823.955,858.287,888.287,592.191,572.191
Accelerating,199,7.55772,259.561,27.6865,2698.42,99,0.057898,25.9995,20.3384,5.66114,1.08331,3.38973,3.7266,1832.13,714.988,729.579,819.752,853.908,883.908,589.272,569.272
Accelerating,200,8.06327,267.624,27.853,2726.27,99.5,0.0538218,25.7376,20.475,5.26258,1.0724,3.4125,3.68905,1841.39,711.358,725.876,815.591,849.574,879.574,586.383,566.383
Accelerating,201,8.63588,276.26,28.0228,2754.29,100,0.0497802,25.4796,20.6122,4.8674,1.06165,3.43536,3.65207,1850.64,707.766,722.21,811.472,845.283,875.283,583.522,563.522
Accelerating,202,9.28992,285.55,28.1964,2782.49,100.5,0.0457723,25.2254,20.7499,4.47552,1.05106,3.45832,3.61564,1859.89,704.209,718.581,807.394,841.036,871.036,580.691,560.691
Accelerating,203,10.0442,295.594,28.3745,2810.86,101,0.0417975,24.975,20.8882,4.08687,1.04063,3.48136,3.57976,1869.15,700.689,714.988,803.358,836.831,866.831,577.887,557.887
Accelerating,204,10.9236,306.518,28.558,2839.42,101.5,0.0378549,24.7284,21.027,3.70137,1.03035,3.5045,3.5444,1878.4,697.203,711.431,799.361,832.668,862.668,575.112,555.112
Accelerating,205,11.9624,318.48,28.7483,2868.17,102,0.0339438,24.4853,21.1664,3.31895,1.02022,3.52773,3.50957,1887.65,693.751,707.91,795.404,828.546,858.546,572.364,552.364
Accelerating,206,13.2083,331.688,28.9468,2897.12,102.5,0.0300634,24.2459,21.3063,2.93953,1.01024,3.55106,3.47524,1896.9,690.334,704.422,791.486,824.464,854.464,569.643,549.643
Accelerating,207,14.7302,346.419,29.1558,2926.27,103,0.0262131,24.0099,21.4469,2.56306,1.00041,3.57448,3.44142,1906.16,686.95,700.97,787.606,820.423,850.423,566.949,546.949
Accelerating,208,16.6315,363.05,29.3782,2955.65,103.5,0.0223921,23.7774,21.5879,2.18945,0.990724,3.59799,3.40809,1915.41,683.599,697.55,783.764,816.421,846.421,564.281,544.281
Accelerating,209,19.0744,382.125,29.6182,2985.27,104,0.0185999,23.5482,21.7295,1.81865,0.981175,3.62159,3.37524,1924.66,680.281,694.164,779.96,812.458,842.458,561.639,541.639
Accelerating,210,22.3293,404.454,29.8815,3015.15,104.5,0.0148356,23.3223,21.8717,1.45059,0.971763,3.64529,3.34286,1933.92,676.995,690.811,776.192,808.534,838.534,559.022,539.022
Accelerating,211,26.8819,431.336,30.1769,3045.33,105,0.0110987,23.0997,22.0145,1.08521,0.962486,3.66908,3.31095,1943.17,673.74,687.49,772.461,804.647,834.647,556.431,536.431
Accelerating,212,33.7027,465.039,30.5168,3075.84,105.5,0.00738859,22.8802,22.1578,0.72244,0.953341,3.69296,3.27949,1952.42,670.517,684.201,768.765,800.797,830.797,553.864,533.864
Accelerating,213,45.0502,510.089,30.9176,3106.76,106,0.0037046,22.6638,22.3016,0.362228,0.944326,3.71693,3.24848,1961.68,667.324,680.943,765.104,796.984,826.984,551.322,531.322
Accelerating,214,67.6719,577.761,31.3882,3138.15,106.5,4.6143e-05,22.4505,22.446,0.00451176,0.935439,3.741,3.21791,1970.93,664.161,677.716,761.478,793.207,823.207,548.804,528.804
Accelerating,215,134.967,712.728,31.8007,3169.95,107,-0.00358736,22.2402,22.591,-0.350764,0.926676,3.76516,3.18776,1980.18,661.029,674.519,757.887,789.465,819.465,546.31,526.31
Accelerating,216,0.5,713.228,29.7001,3199.65,107.5,-0.00719649,22.0329,22.7365,-0.703657,0.918035,3.78942,3.15804,1989.44,657.925,671.352,754.329,785.759,815.759,543.839,523.839
Accelerating,217,0.5,713.728,29.7221,3229.37,108,-0.0107818,21.8284,22.8826,-1.05422,0.909515,3.81377,3.12873,1998.69,654.851,668.215,750.804,782.087,812.087,541.392,521.392
Accelerating,218,69.4783,783.206,29.8609,3259.23,108.5,-0.0143438,21.6267,23.0292,-1.40251,0.901113,3.83821,3.09983,2007.94,651.805,665.108,747.312,778.45,808.45,538.967,518.967
Accelerating,219,46.3745,829.581,22.7714,3282.01,109,-0.0178831,21.4279,23.1764,-1.74857,0.892827,3.86274,3.07133,2017.2,648.788,662.029,743.852,774.846,804.846,536.564,516.564
Accelerating,220,34.8582,864.439,25.8545,3307.86,109.5,-0.0214002,21.2317,23.3242,-2.09246,0.884655,3.88736,3.04321,2026.45,645.798,658.978,740.425,771.276,801.276,534.184,514.184
Accelerating,221,27.9593,892.398,27.2598,3335.12,110,-0.0248955,21.0383,23.4725,-2.43423,0.876595,3.91208,3.01549,2035.7,642.836,655.955,737.028,767.738,797.738,531.825,511.825
Accelerating,222,23.3643,915.763,28.0932,3363.21,110.5,-0.0283697,20.8474,23.6214,-2.77392,0.868644,3.9369,2.98813,2044.96,639.901,652.96,733.663,764.232,794.232,529.488,509.488
Accelerating,223,20.0839,935.846,28.668,3391.88,111,-0.0318231,20.6592,23.7708,-3.11159,0.8608,3.9618,2.96115,2054.21,636.992,649.992,730.328,760.759,790.759,527.172,507.172
Accelerating,224,17.6244,953.471,29.1051,3420.99,111.5,-0.0352562,20.4735,23.9208,-3.44728,0.853063,3.9868,2.93454,2063.46,634.11,647.051,727.024,757.316,787.316,524.878,504.878
Accelerating,225,15.7119,969.183,29.4604,3450.45,112,-0.0386696,20.2903,24.0713,-3.78103,0.845429,4.01189,2.90828,2072.72,631.254,644.137,723.749,753.905,783.905,522.603,502.603
Accelerating,226,14.1819,983.365,29.7634,3480.21,112.5,-0.0420636,20.1095,24.2224,-4.11289,0.837898,4.03707,2.88237,2081.97,628.423,641.248,720.504,750.525,780.525,520.35,500.35
Accelerating,227,12.93,996.295,30.0309,3510.24,113,-0.0454388,19.9312,24.3741,-4.4429,0.830466,4.06235,2.8568,2091.22,625.618,638.386,717.287,747.174,777.174,518.116,498.116
Accelerating,228,11.8867,1008.18,30.2733,3540.51,113.5,-0.0487955,19.7552,24.5263,-4.77111,0.823133,4.08772,2.83158,2100.48,622.837,635.548,714.099,743.853,773.853,515.902,495.902
Accelerating,229,11.0038,1019.19,30.4972,3571.01,114,-0.0521341,19.5815,24.6791,-5.09756,0.815897,4.11318,2.80669,2109.73,620.082,632.736,710.94,740.562,770.562,513.708,493.708
Accelerating,230,10.2469,1029.43,30.7072,3601.72,114.5,-0.0554552,19.4101,24.8324,-5.42228,0.808756,4.13874,2.78212,2118.98,617.35,629.949,707.808,737.3,767.3,511.533,491.533
Accelerating,231,9.59065,1039.02,30.9064,3632.63,115,-0.058759,19.241,24.9863,-5.74532,0.801708,4.16438,2.75787,2128.23,614.643,627.186,704.704,734.066,764.066,509.378,489.378
Accelerating,232,9.01629,1048.04,31.0971,3663.72,115.5,-0.062046,19.074,25.1408,-6.06672,0.794751,4.19013,2.73394,2137.49,611.959,624.448,701.626,730.861,760.861,507.241,487.241
Accelerating,233,8.50934,1056.55,31.281,3695,116,-0.0653166,18.9092,25.2958,-6.38651,0.787885,4.21596,2.71033,2146.74,609.298,621.733,698.576,727.683,757.683,505.122,485.122
Accelerating,234,8.05854,1064.61,31.4594,3726.46,116.5,-0.0685711,18.7466,25.4513,-6.70473,0.781108,4.24189,2.68701,2155.99,606.66,619.041,695.552,724.533,754.533,503.022,483.022
Accelerating,235,7.65502,1072.26,31.6331,3758.1,117,-0.07181,18.586,25.6074,-7.02142,0.774417,4.26791,2.664,2165.25,604.046,616.373,692.554,721.41,751.41,500.94,480.94
Accelerating,236,7.2917,1079.55,31.803,3789.9,117.5,-0.0750336,18.4275,25.7641,-7.33662,0.767813,4.29402,2.64128,2174.5,601.453,613.728,689.582,718.314,748.314,498.876,478.876
Accelerating,237,6.96282,1086.52,31.9697,3821.87,118,-0.0782422,18.271,25.9214,-7.65035,0.761292,4.32023,2.61884,2183.75,598.883,611.105,686.635,715.245,745.245,496.83,476.83
Accelerating,238,6.66368,1093.18,32.1337,3854,118.5,-0.0814362,18.1165,26.0791,-7.96265,0.754854,4.34652,2.5967,2193.01,596.335,608.505,683.713,712.201,742.201,494.801,474.801
Accelerating,239,6.39041,1099.57,32.2952,3886.3,119,-0.084616,17.9639,26.2375,-8.27356,0.748497,4.37292,2.57483,2202.26,593.808,605.926,680.816,709.184,739.184,492.789,472.789
Accelerating,240,6.13978,1105.71,32.4548,3918.75,119.5,-0.0877818,17.8133,26.3964,-8.58311,0.742221,4.3994,2.55324,2211.51,591.303,603.37,677.944,706.191,736.191,490.794,470.794
Accelerating,241,5.90905,1111.62,32.6125,3951.36,120,-0.0909341,17.6645,26.5559,-8.89133,0.736023,4.42598,2.53192,2220.77,588.818,600.835,675.095,703.224,733.224,488.816,468.816
Accelerating,242,5.69594,1117.32,32.7687,3984.13,120.5,-0.094073,17.5176,26.7159,-9.19825,0.729902,4.45265,2.51086,2230.02,586.355,598.321,672.271,700.282,730.282,486.855,466.855
Accelerating,243,5.49849,1122.81,32.9236,4017.06,121,-0.097199,17.3726,26.8765,-9.50391,0.723857,4.47941,2.49007,2239.27,583.911,595.828,669.47,697.364,727.364,484.91,464.91
Accelerating,244,5.31502,1128.13,33.0772,4050.13,121.5,-0.100312,17.2293,27.0376,-9.80832,0.717887,4.50627,2.46953,2248.53,581.489,593.356,666.692,694.471,724.471,482.981,462.981
Accelerating,245,5.14408,1133.27,33.2297,4083.36,122,-0.103413,17.0878,27.1993,-10.1115,0.711991,4.53322,2.44925,2257.78,579.086,590.904,663.937,691.601,721.601,481.067,461.067
Accelerating,246,4.98443,1138.26,33.3813,4116.75,122.5,-0.106502,16.948,27.3616,-10.4136,0.706167,4.56026,2.42921,2267.03,576.703,588.472,661.205,688.755,718.755,479.17,459.17
Accelerating,247,4.83496,1143.09,33.532,4150.28,123,-0.10958,16.8099,27.5244,-10.7144,0.700414,4.5874,2.40942,2276.29,574.339,586.061,658.495,685.932,715.932,477.288,457.288
Accelerating,248,4.69473,1147.79,33.682,4183.96,123.5,-0.112645,16.6735,27.6877,-11.0142,0.694731,4.61462,2.38988,2285.54,571.995,583.669,655.808,683.133,713.133,475.422,455.422
Accelerating,249,4.5629,1152.35,33.8312,4217.79,124,-0.1157,16.5388,27.8517,-11.3129,0.689117,4.64195,2.37056,2294.79,569.67,581.296,653.142,680.356,710.356,473.571,453.571
Accelerating,250,4.43871,1156.79,33.9798,4251.77,124.5,-0.118743,16.4057,28.0162,-11.6105,0.683571,4.66936,2.35148,2304.05,567.364,578.943,650.498,677.602,707.602,471.734,451.734
Accelerating,251,4.32153,1161.11,34.1278,4285.9,125,-0.121776,16.2742,28.1812,-11.907,0.678092,4.69687,2.33263,2313.3,565.076,576.608,647.875,674.869,704.869,469.913,449.913
Accelerating,252,4.21076,1165.32,34.2753,4320.17,125.5,-0.124799,16.1443,28.3468,-12.2025,0.672678,4.72447,2.31401,2322.55,562.807,574.293,645.273,672.159,702.159,468.106,448.106
Accelerating,253,4.10589,1169.43,34.4223,4354.6,126,-0.127811,16.0159,28.513,-12.4971,0.667328,4.75216,2.29561,2331.8,560.556,571.996,642.692,669.471,699.471,466.314,446.314
Accelerating,254,4.00645,1173.43,34.5689,4389.16,126.5,-0.130814,15.889,28.6797,-12.7907,0.662043,4.77995,2.27743,2341.06,558.323,569.717,640.131,666.803,696.803,464.536,444.536
Accelerating,255,3.91202,1177.35,34.7151,4423.88,127,-0.133806,15.7637,28.8469,-13.0833,0.656819,4.80782,2.25946,2350.31,556.107,567.456,637.591,664.158,694.158,462.772,442.772
Accelerating,256,3.82224,1181.17,34.8608,4458.74,127.5,-0.13679,15.6398,29.0148,-13.375,0.651658,4.8358,2.2417,2359.56,553.909,565.213,635.071,661.532,691.532,461.022,441.022
Accelerating,257,3.73674,1184.9,35.0063,4493.75,128,-0.139764,15.5174,29.1832,-13.6658,0.646557,4.86386,2.22416,2368.82,551.728,562.988,632.571,658.928,688.928,459.285,439.285
Accelerating,258,3.65525,1188.56,35.1514,4528.9,128.5,-0.142729,15.3964,29.3521,-13.9557,0.641515,4.89202,2.20681,2378.07,549.565,560.78,630.09,656.344,686.344,457.563,437.563
Accelerating,259,3.57746,1192.14,35.2962,4564.19,129,-0.145686,15.2768,29.5216,-14.2448,0.636533,4.92027,2.18967,2387.32,547.418,558.59,627.629,653.78,683.78,455.854,435.854
Accelerating,260,3.50314,1195.64,35.4407,4599.64,129.5,-0.148634,15.1586,29.6917,-14.5331,0.631608,4.94861,2.17273,2396.58,545.288,556.417,625.187,651.237,681.237,454.158,434.158
Accelerating,261,3.43204,1199.07,35.585,4635.22,130,-0.151574,15.0418,29.8623,-14.8205,0.62674,4.97705,2.15599,2405.83,543.175,554.26,622.764,648.712,678.712,452.475,432.475
Accelerating,262,3.36397,1202.44,35.7291,4670.95,130.5,-0.154505,14.9263,30.0335,-15.1072,0.621928,5.00558,2.13943,2415.08,541.078,552.12,620.36,646.208,676.208,450.805,430.805
Accelerating,263,3.29873,1205.73,35.8729,4706.82,131,-0.157429,14.8121,30.2052,-15.3931,0.617172,5.0342,2.12307,2424.34,538.997,549.997,617.974,643.723,673.723,449.148,429.148
