Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,29,0.462341,12.5117,3.64319,49.5896,14,1.08062,110.881,5.22079,105.66,4.62004,0.870132,15.8929,259.089,431.204,440.004,494.386,514.986,544.986,363.324,343.324
Accelerating,30,0.462519,12.9743,3.78209,53.3717,14.5,1.08019,110.881,5.2626,105.618,4.62004,0.8771,15.8929,268.343,446.604,455.718,512.043,533.378,563.378,375.585,355.585
Accelerating,31,0.462699,13.437,3.921,57.2927,15,1.07975,110.881,5.30497,105.576,4.62004,0.884161,15.8929,277.596,462.004,471.433,529.699,551.77,581.77,387.847,367.847
Accelerating,32,0.462883,13.8998,4.0599,61.3526,15.5,1.07932,110.881,5.34789,105.533,4.62004,0.891315,15.8929,286.849,477.404,487.147,547.356,570.163,600.163,400.108,380.108
Accelerating,33,0.463068,14.3629,4.1988,65.5514,16,1.07887,110.881,5.39137,105.49,4.62004,0.898562,15.8929,296.102,492.804,502.861,565.013,588.555,618.555,412.37,392.37
Accelerating,34,0.463257,14.8262,4.3377,69.8891,16.5,1.07842,110.881,5.43541,105.446,4.62004,0.905902,15.8929,305.355,508.204,518.576,582.669,606.947,636.947,424.632,404.632
Accelerating,35,0.463448,15.2896,4.4766,74.3657,17,1.07796,110.881,5.48001,105.401,4.62004,0.913334,15.8929,314.609,523.604,534.29,600.326,625.34,655.34,436.893,416.893
Accelerating,36,0.463641,15.7533,4.6155,78.9812,17.5,1.0775,110.881,5.52516,105.356,4.62004,0.92086,15.8929,323.862,539.005,550.005,617.983,643.732,673.732,449.155,429.155
Accelerating,37,0.463837,16.2171,4.75441,83.7356,18,1.07703,110.881,5.57087,105.31,4.62004,0.928479,15.8929,333.115,554.405,565.719,635.639,662.124,692.124,461.416,441.416
Accelerating,38,0.464036,16.6811,4.89331,88.6289,18.5,1.07656,110.881,5.61714,105.264,4.62004,0.93619,15.8929,342.368,569.805,581.433,653.296,680.517,710.517,473.678,453.678
Accelerating,39,0.464238,17.1454,5.03221,93.6612,19,1.07608,110.881,5.66397,105.217,4.62004,0.943995,15.8929,351.621,585.205,597.148,670.953,698.909,728.909,485.939,465.939
Accelerating,40,0.464442,17.6098,5.17111,98.8323,19.5,1.0756,110.881,5.71135,105.17,4.62004,0.951892,15.8929,360.875,600.605,612.862,688.609,717.301,747.301,498.201,478.201
Accelerating,41,0.464648,18.0745,5.31002,104.142,20,1.07511,110.881,5.75929,105.122,4.62004,0.959882,15.8929,370.128,616.005,628.577,706.266,735.694,765.694,510.462,490.462
Accelerating,42,0.464858,18.5393,5.44892,109.591,20.5,1.07461,110.881,5.80779,105.073,4.62004,0.967966,15.8929,379.381,631.405,644.291,723.923,754.086,784.086,522.724,502.724
Accelerating,43,0.46507,19.0044,5.58782,115.179,21,1.07411,110.881,5.85685,105.024,4.62004,0.976142,15.8929,388.634,646.805,660.006,741.579,772.478,802.478,534.986,514.986
Accelerating,44,0.465284,19.4697,5.72673,120.906,21.5,1.0736,110.881,5.90647,104.974,4.62004,0.984411,15.8929,397.887,662.206,675.72,759.236,790.871,820.871,547.247,527.247
Accelerating,45,0.465502,19.9352,5.86563,126.771,22,1.07309,110.881,5.95664,104.924,4.62004,0.992773,15.8929,407.141,677.606,691.434,776.893,809.263,839.263,559.509,539.509
Accelerating,46,0.465722,20.4009,6.00453,132.776,22.5,1.07257,110.881,6.00737,104.874,4.62004,1.00123,15.8929,416.394,693.006,707.149,794.549,827.655,857.655,571.77,551.77
Accelerating,47,0.465944,20.8668,6.14344,138.919,23,1.07205,110.881,6.05866,104.822,4.62004,1.00978,15.8929,425.647,708.406,722.863,812.206,846.048,876.048,584.032,564.032
