P_vvvf(kW),P_catenary(kW),Catenary current(A),VVVFcurrent(A)
929.807,959.807,619.871,639.871
924.67,954.67,616.447,636.447
919.59,949.59,613.06,633.06
914.565,944.565,609.71,629.71
909.595,939.595,606.396,626.396
904.678,934.678,603.119,623.119
899.815,929.815,599.876,619.876
895.003,925.003,596.669,616.669
890.243,920.243,593.495,613.495
885.533,915.533,590.355,610.355
880.872,910.872,587.248,607.248
876.261,906.261,584.174,604.174
871.697,901.697,581.131,601.131
867.181,897.181,578.12,598.12
862.711,892.711,575.141,595.141
858.287,888.287,572.191,592.191
853.908,883.908,569.272,589.272
849.574,879.574,566.383,586.383
845.283,875.283,563.522,583.522
841.036,871.036,560.691,580.691
836.831,866.831,557.887,577.887
832.668,862.668,555.112,575.112
828.546,858.546,552.364,572.364
824.464,854.464,549.643,569.643
820.423,850.423,546.949,566.949
816.421,846.421,544.281,564.281
812.458,842.458,541.639,561.639
808.534,838.534,539.022,559.022
804.647,834.647,536.431,556.431
800.797,830.797,533.864,553.864
796.984,826.984,531.322,551.322
793.207,823.207,528.804,548.804
789.465,819.465,526.31,546.31
785.759,815.759,523.839,543.839
782.087,812.087,521.392,541.392
778.45,808.45,518.967,538.967
774.846,804.846,516.564,536.564
771.276,801.276,514.184,534.184
767.738,797.738,511.825,531.825
764.232,794.232,509.488,529.488
760.759,790.759,507.172,527.172
757.316,787.316,504.878,524.878
753.905,783.905,502.603,522.603
750.525,780.525,500.35,520.35
747.174,777.174,498.116,518.116
743.853,773.853,495.902,515.902
740.562,770.562,493.708,513.708
737.3,767.3,491.533,511.533
734.066,764.066,489.378,509.378
730.861,760.861,487.241,507.241
727.683,757.683,485.122,505.122
724.533,754.533,483.022,503.022
721.41,751.41,480.94,500.94
718.314,748.314,478.876,498.876
715.245,745.245,476.83,496.83
712.201,742.201,474.801,494.801
709.184,739.184,472.789,492.789
706.191,736.191,470.794,490.794
703.224,733.224,468.816,488.816
700.282,730.282,466.855,486.855
697.364,727.364,464.91,484.91
694.471,724.471,462.981,482.981
691.601,721.601,461.067,481.067
688.755,718.755,459.17,479.17
685.932,715.932,457.288,477.288
683.133,713.133,455.422,475.422
680.356,710.356,453.571,473.571
677.602,707.602,451.734,471.734
674.869,704.869,449.913,469.913
672.159,702.159,448.106,468.106
669.471,699.471,446.314,466.314
666.803,696.803,444.536,464.536
664.158,694.158,442.772,462.772
661.532,691.532,441.022,461.022
658.928,688.928,439.285,459.285
656.344,686.344,437.563,457.563
653.78,683.78,435.854,455.854
651.237,681.237,434.158,454.158
648.712,678.712,432.475,452.475
646.208,676.208,430.805,450.805
643.723,673.723,429.148,449.148
641.256,671.256,427.504,447.504
