Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Coasting,1803,1,1803,19.67501722189397,27944.894605926573,6678.626668805955,205.6141430136654,0,2000,70.75974832322245,70,19.65548564533959,-0.14093512710351144,-0.03914864641764207,0,13.662877599757081,-13.662877599757081,0,0.5692865666565451,0,1309.5074090208495,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1804,1,1804,19.63591132213075,27964.530517248702,6698.262580128086,204.61042978787157,0,2000,70.61911983503971,70,19.61642217639994,-0.14062848818273893,-0.0390634689396497,0,13.633150659937746,-13.633150659937746,0,0.5680479441640728,0,1306.9048835518008,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1805,1,1805,19.596890441930093,27984.127407690634,6717.859470570015,203.61486043031596,0,2000,70.47879688520617,70,19.577443579223957,-0.1403229498335416,-0.03897859717598377,0,13.603530414418337,-13.603530414418337,0,0.5668137672674307,0,1304.3080124942137,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1806,1,1806,19.557954280635943,28003.68536197127,6737.4174248506515,202.6273647105882,0,2000,70.33877833673075,70,19.538549537980785,-0.1400185484754146,-0.03889404124317072,0,13.57402039386658,-13.57402039386658,0,0.5655841830777741,0,1301.7167748064912,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1807,1,1807,19.51910251735918,28023.20446448863,6756.9365273680105,201.64787276770954,0,2000,70.19906308904189,70,19.499739746956102,-0.13971524768886273,-0.03880979102468409,0,13.544617067614748,-13.544617067614748,0,0.5643590444839478,0,1299.131150121027,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1808,1,1808,19.480334851443736,28042.684799340073,6776.416862219454,200.6763156171699,0,2000,70.05965002199993,70,19.461013895000004,-0.13941306704195303,-0.03872585195609806,0,13.515322332678224,-13.515322332678224,0,0.5631384305282593,0,1296.5511177080818,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1809,1,1809,19.44165096902193,28062.126450309097,6795.858513188476,199.7126247519994,0,2000,69.92053805605163,70,19.422371682236587,-0.13911196594829955,-0.03864221276341654,0,13.486132254432373,-13.486132254432373,0,0.5619221772680155,0,1293.976657589023,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1810,1,1810,19.403050575854856,28081.529500884953,6815.26156376433,198.7564229818242,0,2000,69.78172607105734,70,19.38381279751595,-0.13881198499428823,-0.03855888472063562,0,13.457050767501832,-13.457050767501832,0,0.5607104486459097,0,1291.4077490341115,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1811,1,1811,19.364533355155608,28100.894034240107,6834.626097119486,197.80624204166617,0,2000,69.64321299869809,70,19.345336944082828,-0.1385130723592477,-0.03847585343312436,0,13.4280728481604,-13.4280728481604,0,0.5595030353400167,0,1288.844372272621,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1812,1,1812,19.32609901736624,28120.220133257473,6853.952196136853,196.86186776349717,0,2000,69.50499773985256,70,19.306943816625736,-0.13821525884553038,-0.038393127457091766,0,13.399201482525026,-13.399201482525026,0,0.5583000617718761,0,1286.2865069637846,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1813,1,1813,19.287747252897162,28139.50788051037,6873.23994338975,195.92326094588563,0,2000,69.3670792108006,70,19.268633114111303,-0.13791852905196,-0.03831070251443333,0,13.370435177537233,-13.370435177537233,0,0.5571014657307181,0,1283.7341330518564,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1814,1,1814,19.249477762854063,28158.757358273222,6892.489421152604,194.9903827582168,0,2000,69.22945633905634,70,19.23040453862679,-0.13762287174425117,-0.038228575484514214,0,13.34177284409546,-13.34177284409546,0,0.5559072018373109,0,1281.1872306889961,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1815,1,1815,19.211290250884502,28177.968648524107,6911.700711403489,194.0631947088729,0,2000,69.09212806753511,70,19.19225779653756,-0.13732827152122767,-0.038146742089229906,0,13.313212989141237,-13.313212989141237,0,0.5547172078808849,0,1278.6457803123833,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1816,1,1816,19.173184425492916,28197.1418329496,6930.873895828981,193.14165866993073,0,2000,68.95509332375104,70,19.154192589930876,-0.13703474378406566,-0.03806520660668491,0,13.284757105733032,-13.284757105733032,0,0.5535315460722097,0,1276.109762074178,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
