Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Accelerating,11,1,11,10.698027302389718,61.10248264684431,61.10248264684431,51.91465260559608,0,2000,40.16671460421341,70,11.157420723392612,3.48391488095005,0.9677541335972362,345.49181154914635,7.745618923710937,337.7461926254354,14.395492147881098,0.3227341218212891,49.52049298871098,743.3408345374404,3520.4463691902174,3592.2922134594055,4036.2833859094444,4161.116892690149,4161.116892690149,2774.0779284600994,2774.0779284600994,5.700475670157367,6.603122518426234,0,6.603122518426234,0,0,0,0
Accelerating,12,1,12,11.641297790191231,72.74378043703554,72.74378043703554,62.244018599395474,0,2000,43.336534664483914,70,12.037926295689974,3.169820060270503,0.8805055722973619,315.52511903175156,8.22867429997223,307.29644473177933,13.146879959656316,0.3428614291655096,45.22526706121772,802.0027567820799,3520.446501835786,3592.2923488120264,4036.2835379910407,4161.1170494753,4161.1170494753,2774.078032983533,2774.078032983533,6.698334655938485,7.758988365502707,0,7.758988365502707,0,0,0,0
Accelerating,13,1,13,12.478179081838658,85.2219595188742,85.2219595188742,72.4558347502321,0,2000,46.263515574153864,70,12.850976548376071,2.9269809096699477,0.8130502526860965,292.4462399752037,8.691701787756044,283.7545381874477,12.18525999896682,0.3621542411565018,41.91729439644586,856.1706033064503,3520.4462822731657,3592.2921247685367,4036.283286256783,4161.116789955447,4161.116789955447,2774.0778599702976,2774.0778599702976,7.696193579485301,8.91485414049033,0,8.91485414049033,0,0,0,0
Accelerating,14,1,14,13.257501674719121,98.47946119359332,98.47946119359332,82.5737991234559,0,2000,48.995025647136394,70,13.609729346426775,2.7315100729825317,0.7587527980507033,273.9438842141355,9.139157694440001,264.80472651969546,11.414328508922312,0.3807982372683334,39.26529007069275,906.7209905413891,3520.4464316069057,3592.292277149904,4036.283457471802,4161.1169664657755,4161.1169664657755,2774.0779776438503,2774.0779776438503,8.694052545360273,10.070719964508601,0,10.070719964508601,0,0,0,0
Accelerating,15,1,15,13.989105745452127,112.46856693904544,112.46856693904544,92.61236644149508,0,2000,51.56451103881798,70,14.32347528856055,2.5694853916815905,0.7137459421337752,258.6713030908277,9.573969286140137,249.09733380468754,10.77797096211782,0.3989153869225057,37.0762201096853,954.2728860400565,3520.4464247536926,3592.292270156829,4036.2834496144146,4161.116958365376,4161.116958365376,2774.0779722435846,2774.0779722435846,9.691911509292726,11.226585786276761,0,11.226585786276761,0,0,0,0
Accelerating,16,1,16,14.680348259627438,127.14891519867288,127.14891519867288,102.58097217100236,0,2000,53.99666078819883,70,14.99907244116634,2.4321497493808497,0.6755971526057916,245.78158584277972,9.998179583358459,235.78340625942127,10.240899410115821,0.41659081597326914,35.228693970798425,999.2831947556001,3520.4464712022786,3592.2923175533456,4036.2835028689274,4161.117013266936,4161.117013266936,2774.078008844624,2774.078008844624,10.689770486390877,12.382451623295355,0,12.382451623295355,0,0,0,0
Accelerating,17,1,17,15.336871017469237,142.48578621614212,142.48578621614212,112.48608704767781,0,2000,56.310332852956584,70,15.641759125821272,2.313672064757754,0.6426866846549317,234.71093626267142,10.413283318100282,224.29765294457115,9.779622344277977,0.4338868049208451,33.641900864316234,1042.1009093834873,3520.4463357377845,3592.29217932427,4036.2833475553593,4161.116853149855,4161.116853149855,2774.0779020999034,2774.0779020999034,11.687629425092064,13.538317415836982,0,13.538317415836982,0,0,0,0
Accelerating,18,1,18,15.96310246814874,158.44888868429086,158.44888868429086,122.33231427510655,0,2000,58.520328031530944,70,16.25564667542526,2.2099951785743572,0.6138875496039881,225.06716607779524,10.820411266003418,214.24675481179182,9.377798586574801,0.4508504694168091,32.25962713781732,1082.999939253181,3520.446398920086,3592.292243796006,4036.2834199955123,4161.116927830425,4161.116927830425,2774.0779518869504,2774.0779518869504,12.685488381702065,14.694183229123212,0,14.694183229123212,0,0,0,0
Accelerating,19,1,19,16.562590450227255,175.0114791345181,175.0114791345181,132.12302441813216,0,2000,60.63852218189518,70,16.844033939415326,2.118194150364238,0.588387263990066,216.56760045712383,11.22044532459076,205.34715513253306,9.023650019046826,0.46751855519128166,31.041356065521082,1122.200063608856,3520.4463943756714,3592.2922391588486,4036.283414785223,4161.116922458993,4161.116922458993,2774.077948305995,2774.077948305995,13.683347337023967,15.850049040917376,0,15.850049040917376,0,0,0,0
Accelerating,20,1,20,17.13822757141036,192.14970670592848,192.14970670592848,141.86073967608775,0,2000,62.67462114288177,70,17.409616984133823,2.0360989609865885,0.5655830447184967,209.0025692848007,11.61408667804535,197.38848260675536,8.708440386866696,0.4839202782518896,29.957034930821433,1159.8809024769128,3520.4463704581867,3592.2922147532518,4036.2833873632044,4161.116894188871,4161.116894188871,2774.0779294592476,2774.0779294592476,14.681206285566537,17.00591484485873,0,17.00591484485873,0,0,0,0
