0,2836,2836,Solobalapan-Purwosari
2836,9475,6639,Purwosari-Gawok
9475,15018,5543,Gawok-Delanggu
15018,21289,6271,Delanggu-Ceper
21289,30568,9279,Ceper-Klaten
30568,37306,6738,Klaten-Srowot
37306,43156,5850,Srowot-Brambanan
43156,51061,7905,Brambanan-Maguwo
51061,57860,6799,Maguwo-Lempuyangan
57860,59167,1307,Lempuyangan-Yogyakarta
