Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_wheel,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,32,16,17.3051,1.07772,110.881,5.50398,105.377,4.62004,0.91733,15.8929,320.255,533.002,543.879,611.1,636.563,666.563,444.375,424.375
Accelerating,33,16.5,17.8437,1.07722,110.881,5.55299,105.328,4.62004,0.925498,15.8929,330.223,549.591,560.807,630.12,656.375,686.375,457.584,437.584
Accelerating,34,17,18.3821,1.07671,110.881,5.60262,105.278,4.62004,0.93377,15.8929,340.186,566.172,577.727,649.131,676.179,706.179,470.786,450.786
Accelerating,35,17.5,18.9202,1.0762,110.881,5.65287,105.228,4.62004,0.942145,15.8929,350.144,582.746,594.639,668.133,695.972,725.972,483.982,463.982
Accelerating,36,18,19.458,1.07568,110.881,5.70375,105.177,4.62004,0.950625,15.8929,360.097,599.311,611.542,687.126,715.756,745.756,497.171,477.171
Accelerating,37,18.5,19.9956,1.07515,110.881,5.75525,105.126,4.62004,0.959208,15.8929,370.046,615.869,628.438,706.11,735.531,765.531,510.354,490.354
Accelerating,38,19,20.5329,1.07462,110.881,5.80736,105.074,4.62004,0.967894,15.8929,379.99,632.418,645.325,725.084,755.296,785.296,523.53,503.53
Accelerating,39,19.5,21.0699,1.07408,110.881,5.8601,105.021,4.62004,0.976683,15.8929,389.928,648.959,662.203,744.048,775.05,805.05,536.7,516.7
Accelerating,40,20,21.6067,1.07353,110.881,5.91345,104.967,4.62004,0.985575,15.8929,399.862,665.492,679.073,763.003,794.795,824.795,549.863,529.863
Accelerating,41,20.5,22.1432,1.07298,110.881,5.96742,104.914,4.62004,0.994569,15.8929,409.79,682.016,695.934,781.949,814.53,844.53,563.02,543.02
Accelerating,42,21,22.6794,1.07242,110.881,6.022,104.859,4.62004,1.00367,15.8929,419.714,698.531,712.787,800.884,834.254,864.254,576.169,556.169
Accelerating,43,21.5,23.2153,1.07186,110.881,6.07719,104.804,4.62004,1.01287,15.8929,429.632,715.038,729.63,819.809,853.968,883.968,589.312,569.312
Accelerating,44,22,23.751,1.07129,110.881,6.133,104.748,4.62004,1.02217,15.8929,439.544,731.536,746.465,838.725,873.672,903.672,602.448,582.448
Accelerating,45,22.5,24.2863,1.07071,110.881,6.18942,104.692,4.62004,1.03157,15.8929,449.452,748.025,763.291,857.63,893.364,923.364,615.576,595.576
Accelerating,46,23,24.8214,1.07013,110.881,6.24644,104.634,4.62004,1.04107,15.8929,459.354,764.505,780.107,876.525,913.046,943.046,628.698,608.698
Accelerating,47,23.5,25.3561,1.06954,110.881,6.30408,104.577,4.62004,1.05068,15.8929,469.251,780.976,796.914,895.409,932.718,962.718,641.812,621.812
Accelerating,48,24,25.8906,1.06894,110.881,6.36232,104.519,4.62004,1.06039,15.8929,479.142,797.438,813.712,914.283,952.378,982.378,654.919,634.919
Accelerating,49,24.5,26.4248,1.06834,110.881,6.42116,104.46,4.62004,1.07019,15.8929,489.027,813.89,830.5,933.146,972.027,1002.03,668.018,648.018
Accelerating,50,25,26.9586,1.06773,110.881,6.48061,104.4,4.62004,1.0801,15.8929,498.907,830.333,847.279,951.999,991.665,1021.67,681.11,661.11
Accelerating,51,25.5,27.4922,1.06712,110.881,6.54066,104.34,4.62004,1.09011,15.8929,508.781,846.767,864.048,970.84,1011.29,1041.29,694.195,674.195
Accelerating,52,26,28.0255,1.0665,110.881,6.60131,104.28,4.62004,1.10022,15.8929,518.65,863.191,880.807,989.671,1030.91,1060.91,707.272,687.272
Accelerating,53,26.5,28.5584,1.06587,110.881,6.66256,104.218,4.62004,1.11043,15.8929,528.513,879.606,897.557,1008.49,1050.51,1080.51,720.341,700.341
Accelerating,54,27,29.091,1.06524,110.881,6.72441,104.157,4.62004,1.12074,15.8929,538.37,896.011,914.296,1027.3,1070.1,1100.1,733.402,713.402
Accelerating,55,27.5,29.6233,1.0646,110.881,6.78686,104.094,4.62004,1.13114,15.8929,548.22,912.406,931.026,1046.1,1089.68,1119.68,746.456,726.456
Accelerating,56,28,30.1553,1.06395,110.881,6.8499,104.031,4.62004,1.14165,15.8929,558.065,928.791,947.745,1064.88,1109.25,1139.25,759.502,739.502
Accelerating,57,28.5,30.6869,1.0633,110.881,6.91353,103.967,4.62004,1.15225,15.8929,567.904,945.166,964.455,1083.66,1128.81,1158.81,772.54,752.54
Accelerating,58,29,31.2183,1.06265,110.881,6.97775,103.903,4.62004,1.16296,15.8929,577.737,961.53,981.153,1102.42,1148.35,1178.35,785.569,765.569
Accelerating,59,29.5,31.7493,1.06198,110.881,7.04257,103.838,4.62004,1.17376,15.8929,587.564,977.885,997.842,1121.17,1167.89,1197.89,798.591,778.591
Accelerating,60,30,32.2799,1.06131,110.881,7.10797,103.773,4.62004,1.18466,15.8929,597.385,994.229,1014.52,1139.91,1187.41,1217.41,811.604,791.604
Accelerating,61,30.5,32.8102,1.06064,110.881,7.17396,103.707,4.62004,1.19566,15.8929,607.199,1010.56,1031.19,1158.64,1206.91,1236.91,824.609,804.609
Accelerating,62,31,33.3402,1.05996,110.881,7.24053,103.64,4.62004,1.20676,15.8929,617.007,1026.89,1047.84,1177.35,1226.41,1256.41,837.606,817.606
Accelerating,63,31.5,33.8698,1.05927,110.881,7.30769,103.573,4.62004,1.21795,15.8929,626.808,1043.2,1064.49,1196.06,1245.89,1275.89,850.594,830.594
Accelerating,64,32,34.3991,1.05858,110.881,7.37544,103.505,4.62004,1.22924,15.8929,636.604,1059.5,1081.12,1214.75,1265.36,1295.36,863.574,843.574
Accelerating,65,32.5,34.9281,1.05788,110.881,7.44376,103.437,4.62004,1.24063,15.8929,646.392,1075.79,1097.75,1233.43,1284.82,1314.82,876.545,856.545
Accelerating,66,33,35.4567,1.05718,110.881,7.51266,103.368,4.62004,1.25211,15.8929,656.175,1092.07,1114.36,1252.09,1304.26,1334.26,889.508,869.508
Accelerating,67,33.5,35.9776,1.04186,109.453,7.58214,101.871,4.56054,1.26369,15.6882,665.815,1093.85,1116.17,1254.12,1306.38,1336.38,890.92,870.92
Accelerating,68,34,36.4901,1.02494,107.868,7.65122,100.217,4.4945,1.2752,15.4611,675.299,1093.36,1115.68,1253.57,1305.8,1335.8,890.535,870.535
Accelerating,69,34.5,36.9944,1.00875,106.353,7.71977,98.6334,4.43138,1.28663,15.2439,684.633,1092.91,1115.21,1253.05,1305.26,1335.26,890.173,870.173
Accelerating,70,35,37.491,0.993225,104.903,7.78781,97.1153,4.37096,1.29797,15.0361,693.824,1092.48,1114.78,1252.56,1304.75,1334.75,889.831,869.831
Accelerating,71,35.5,37.9802,0.978323,103.514,7.85536,95.6582,4.31307,1.30923,14.8369,702.877,1092.07,1114.36,1252.09,1304.26,1334.26,889.508,869.508
Accelerating,72,36,38.4622,0.964002,102.18,7.92243,94.258,4.25752,1.32041,14.6459,711.797,1091.69,1113.97,1251.65,1303.8,1333.8,889.202,869.202
Accelerating,73,36.5,38.9373,0.950224,100.9,7.98905,92.9108,4.20416,1.33151,14.4623,720.589,1091.33,1113.6,1251.23,1303.37,1333.37,888.912,868.912
Accelerating,74,37,39.4058,0.936956,99.6687,8.05521,91.6135,4.15286,1.34254,14.2858,729.259,1090.98,1113.24,1250.84,1302.95,1332.95,888.636,868.636
Accelerating,75,37.5,39.8679,0.924165,98.4838,8.12095,90.3628,4.10349,1.35349,14.116,737.811,1090.65,1112.91,1250.46,1302.56,1332.56,888.374,868.374
